FID,pid,code,startcode,endcode,startnr,endr,oldstatus,newstatus,change,ok
472,6033-6036,B7-CA,B7,CA,39,56,FIX,FIX,1,1
473,6048-6050,CM-CO,CM,CO,11,14,FIX,FIX,1,1
474,6043-6048,CH-CM,CH,CM,14,32,FIX,FIX,1,1
475,-,NIV.475,#N/A,#N/A,-1,100,NIV,DEL,0,1
476,6055-6058,CT-CW,CT,CW,25,95,FIX,FIX,1,1
477,6060-6061,CY-CZ,CY,CZ,22,67,FIX,FIX,1,1
478,6061-6095,DX-CZ,DX,CZ,60,67,FIX,FIX,1,1
479,6081-6086,DJ-DO,DJ,DO,46,57,FIX,FIX,1,1
480,6150-6151,FC-FD,FC,FD,16,66,FIX,FIX,1,1
481,6097-6151,DZ-FD,DZ,FD,16,21,FIX,FIX,1,1
482,6096-6097,DY-DZ,DY,DZ,15,21,FIX,FIX,1,1
483,6097-6098,DZ-D0,DZ,D0,21,61,FIX,FIX,1,1
484,6093-6098,DV-D0,DV,D0,42,61,FIX,FIX,1,1
485,6047-6049,DEL.CL-CN,CL,CN,-1,-1,DEL,DEL,1,1
486,6047-6048,DEL.CL-CM,CL,CM,-1,14,DEL,DEL,1,1
487,6169-6170,FV-FW,FV,FW,12,89,FIX,FIX,1,1
488,6167-6169,FT-FV,FT,FV,12,82,FIX,FIX,1,1
489,6157-6158,FJ-FK,FJ,FK,26,94,FIX,FIX,1,1
490,6137-6157,DEL.E0-FJ,E0,FJ,-1,94,DEL,DEL,1,1
491,6064-6070,C2-C8,C2,C8,17,47,FIX,FIX,1,1
492,6069-6070,C7-C8,C7,C8,47,74,FIX,FIX,1,1
493,6070-6071,C8-C9,C8,C9,44,47,FIX,FIX,1,1
494,-,NIV.494,#N/A,#N/A,-1,100,NIV,DEL,0,1
495,6088-6126,DQ-EQ,DQ,EQ,5,69,FIX,FIX,0,1
496,6126-6128,DEL.EQ-ER,EQ,ER,69,71,DEL,DEL,0,1
497,6131-6132,EU-EV,EU,EV,83,85,FIX,FIX,1,1
498,6130-6131,ET-EU,ET,EU,68,85,FIX,FIX,1,1
499,6130-6176,ET-F2,ET,F2,60,68,FIX,FIX,1,1
500,6176-6177,F2-F3,F2,F3,47,60,FIX,FIX,1,1
501,6177-6177,NIV.501,#N/A,#N/A,-1,100,NIV,DEL,0,1
502,6129-6130,DEL.ES-ET,ES,ET,68,76,DEL,DEL,1,1
503,5988-5989,A0-A1,A0,A1,36,38,FIX,FIX,0,1
504,6092-6099,DU-D1,DU,D1,12,18,FIX,FIX,1,1
505,6098-6099,D0-D1,D0,D1,18,61,FIX,FIX,1,1
506,6129-6161,ES-FN,ES,FN,76,88,FIX,FIX,1,1
507,6164-6164,NIV.507,#N/A,#N/A,-1,100,NIV,DEL,0,1
508,5969-6030,B4-AJ,B4,AJ,26,59,FIX,FIX,1,1
509,5969-5977,AP-AJ,AP,AJ,12,26,FIX,FIX,0,1
510,5971-5977,AK-AP,AK,AP,12,98,FIX,FIX,1,1
511,6191-6192,GH-GI,GH,GI,14,15,FIX,FIX,0,1
512,6191-6195,GH-GL,GH,GL,14,16,FIX,FIX,0,1
513,6195-6196,GL-GM,GL,GM,16,28,FIX,FIX,0,1
514,6173-6174,DEL.FZ-F0,FZ,F0,-1,-1,DEL,DEL,1,1
515,6165-6174,DEL.FR-F0,FR,F0,-1,92,DEL,DEL,1,1
516,6115-6165,EG-FR,EG,FR,92,95,FIX,FIX,1,1
517,6114-6115,EF-EG,EF,EG,74,95,FIX,FIX,1,1
518,6131-6174,DEL.EU-F0,EU,F0,-1,85,DEL,DEL,1,1
519,6072-6073,DA-DB,DA,DB,30,48,FIX,FIX,1,1
520,6073-6074,DB-DC,DB,DC,48,68,FIX,FIX,1,1
521,6027-6074,DC-B1,DC,B1,50,68,FIX,FIX,0,1
522,6018-6027,DEL.BS-B1,BS,B1,-1,50,DEL,DEL,1,1
523,6017-6018,DEL.BR-BS,BR,BS,-1,54,DEL,DEL,1,1
524,6072-6083,DEL.DA-DL,DA,DL,30,65,DEL,DEL,1,1
525,6016-6020,DEL.BQ-BU,BQ,BU,44,45,DEL,DEL,1,1
526,6019-6020,BT-BU,BT,BU,45,65,FIX,FIX,1,1
527,6019-6029,BT-B3,BT,B3,47,65,FIX,FIX,1,1
528,6028-6029,B2-B3,B2,B3,40,47,FIX,FIX,1,1
529,6027-6028,B1-B2,B1,B2,40,50,FIX,FIX,1,1
530,5965-7087,AG-SD,AG,SD,1,71,FIX,FIX,1,1
531,7087-7426,DEL.SD-T0,SD,T0,52,71,DEL,DEL,1,1
532,5966-7426,DEL.AH-T0,AH,T0,16,52,DEL,DEL,0,1
533,5991-5992,A3-A4,A3,A4,62,68,FIX,FIX,1,1
534,5992-5993,A4-A5,A4,A5,13,68,FIX,FIX,1,1
535,6075-6079,DEL.DD-DH,DD,DH,61,70,DEL,DEL,1,1
536,6075-6076,DD-DE,DD,DE,61,73,FIX,FIX,1,1
537,6076-6113,DEL.DE-EE,DE,EE,-1,73,DEL,DEL,1,1
538,6177-6185,F3-GB,F3,GB,32,47,FIX,FIX,1,1
539,6128-6139,DEL.ER-E2,ER,E2,71,72,DEL,DEL,0,1
540,6044-6045,CI-CJ,CI,CJ,15,86,FIX,FIX,1,1
541,6162-6180,DEL.FO-F6,FO,F6,20,59,DEL,DEL,1,1
542,6193-6198,GJ-GO,GJ,GO,23,75,FIX,FIX,1,1
543,6198-6200,GO-GQ,GO,GQ,23,36,FIX,FIX,0,1
544,6133-6133,NIV.544,#N/A,#N/A,-1,100,NIV,DEL,0,1
545,6132-6133,EV-EW,EV,EW,13,83,FIX,FIX,1,1
546,5969-5976,DEL.AO-AJ,AO,AJ,3,26,DEL,DEL,0,1
547,6090-6091,DS-DT,DS,DT,23,27,FIX,FIX,1,1
548,6047-6091,DEL.DT-CL,DT,CL,-1,27,DEL,DEL,1,1
549,6073-6082,DEL.DB-DK,DB,DK,26,48,DEL,DEL,1,1
550,-,NIV.550,#N/A,#N/A,-1,100,NIV,DEL,0,1
551,6334-6335,DEL.KE-KF,KE,KF,45,64,DEL,DEL,1,1
552,6335-6336,DEL.KF-KG,KF,KG,64,69,DEL,DEL,1,1
553,6337-6337,NIV.553,#N/A,#N/A,-1,100,NIV,DEL,0,1
554,6210-6337,G0-KH,G0,KH,30,49,FIX,FIX,1,1
555,6209-6210,DEL.GZ-G0,GZ,G0,30,44,DEL,DEL,1,1
556,6208-6209,DEL.GY-GZ,GY,GZ,40,44,DEL,DEL,0,1
557,6209-6335,GZ-KF,GZ,KF,44,64,FIX,FIX,1,1
558,-,NIV.558,#N/A,#N/A,-1,100,NIV,DEL,0,1
559,5963-5964,AE-AF,AE,AF,11,15,FIX,FIX,1,1
560,5962-5963,DEL.AD-AE,AD,AE,11,94,DEL,DEL,1,1
561,6006-6007,BG-BH,BG,BH,34,42,FIX,FIX,1,1
562,6007-6013,DEL.BH-BN,BH,BN,-1,34,DEL,DEL,1,1
563,6013-6109,DEL.EA-BN,EA,BN,-1,70,DEL,DEL,1,1
564,6109-6110,EA-EB,EA,EB,63,70,FIX,FIX,1,1
565,6108-6109,DEL.D9-EA,D9,EA,-1,70,DEL,DEL,1,1
566,6108-6108,NIV.566,#N/A,#N/A,-1,100,NIV,DEL,0,1
567,6007-6012,DEL.BH-BM,BH,BM,31,34,DEL,DEL,0,1
568,6061-6062,CZ-C0,CZ,C0,63,67,FIX,FIX,1,1
569,6056-6057,CU-CV,CU,CV,35,55,FIX,FIX,1,1
570,6074-6075,DEL.DC-DD,DC,DD,61,68,DEL,DEL,1,1
571,6085-6091,DN-DT,DN,DT,4,27,FIX,FIX,1,1
572,6141-6142,DEL.E4-E5,E4,E5,38,80,DEL,DEL,1,1
573,5961-6228,DEL.AC-HI,AC,HI,83,84,DEL,DEL,1,1
574,7087-7088,SD-SE,SD,SE,8,71,FIX,FIX,1,1
575,5982-5986,AU-AY,AU,AY,26,76,FIX,FIX,1,1
576,6333-6340,DEL.KD-KK,KD,KK,48,52,DEL,DEL,1,1
577,6078-6133,DEL.DG-EW,DG,EW,13,97,DEL,DEL,1,1
578,6066-6068,DEL.C4-C6,C4,C6,40,57,DEL,DEL,1,1
579,6024-6029,BY-B3,BY,B3,47,66,FIX,FIX,1,1
580,5978-5987,DEL.AQ-AZ,AQ,AZ,31,80,DEL,DEL,1,1
581,5973-5978,AM-AQ,AM,AQ,6,31,FIX,FIX,1,1
582,5973-5974,DEL.AM-AN,AM,AN,6,96,DEL,DEL,1,1
583,5974-5977,AN-AP,AN,AP,12,96,FIX,FIX,1,1
584,6135-6136,DEL.EY-EZ,EY,EZ,81,84,DEL,DEL,1,1
585,6172-6176,FY-F2,FY,F2,11,60,FIX,FIX,1,1
586,5972-5973,AL-AM,AL,AM,6,78,FIX,FIX,1,1
587,6194-6195,GK-GL,GK,GL,16,18,FIX,FIX,0,1
588,6076-6077,DE-DF,DE,DF,67,73,FIX,FIX,1,1
589,5978-5979,DEL.AQ-AR,AQ,AR,2,31,DEL,DEL,1,1
590,6175-6198,F1-GO,F1,GO,21,23,FIX,FIX,0,1
591,6188-6198,GE-GO,GE,GO,23,25,FIX,FIX,0,1
592,6042-6084,DEL.DM-CG,DM,CG,36,64,DEL,DEL,1,1
593,6157-6160,FJ-FM,FJ,FM,33,94,FIX,FIX,1,1
594,5992-6001,A4-BC,A4,BC,45,68,FIX,FIX,1,1
595,6020-6021,BU-BV,BU,BV,38,45,FIX,FIX,0,1
596,6005-6008,DEL.BF-BI,BF,BI,-1,76,DEL,DEL,1,1
597,6117-6118,EI-EJ,EI,EJ,8,72,FIX,FIX,1,1
598,6117-6123,EI-EN,EI,EN,8,81,FIX,FIX,1,1
599,6189-6190,GF-GG,GF,GG,5,80,FIX,FIX,1,1
600,6189-6999,GF-SC,GF,SC,4,80,FIX,FIX,1,1
601,6107-6999,DEL.D8-SC,D8,SC,4,43,DEL,DEL,0,1
602,-,NIV.602,#N/A,#N/A,-1,100,NIV,DEL,0,1
603,6123-6123,NIV.603,#N/A,#N/A,-1,100,NIV,DEL,0,1
604,6108-6108,NIV.604,#N/A,#N/A,-1,100,NIV,DEL,0,1
605,6117-6169,EI-FV,EI,FV,8,12,FIX,FIX,0,1
606,6163-6181,DEL.FP-F7,FP,F7,96,97,DEL,DEL,0,1
607,6100-6100,NIV.607,#N/A,#N/A,-1,100,NIV,DEL,0,1
608,6100-6101,D2-D3,D2,D3,71,85,FIX,FIX,1,1
609,6101-6101,NIV.609,#N/A,#N/A,-1,100,NIV,DEL,0,1
610,6101-6999,D3-SC,D3,SC,4,71,FIX,FIX,1,1
611,6999-6999,NIV.611,#N/A,#N/A,-1,100,NIV,DEL,0,1
612,6018-6019,DEL.BS-BT,BS,BT,-1,65,DEL,DEL,1,1
613,6014-6022,DEL.BO-BW,BO,BW,-1,64,DEL,DEL,1,1
614,6013-6014,DEL.BN-BO,BN,BO,-1,64,DEL,DEL,1,1
615,6014-6015,DEL.BO-BP,BO,BP,55,64,DEL,DEL,1,1
616,6336-6338,DEL.KG-KI,KG,KI,50,69,DEL,DEL,1,1
617,6338-6338,NIV.617,#N/A,#N/A,-1,100,NIV,DEL,0,1
618,6080-6087,DEL.DI-DP,DI,DP,49,99,DEL,DEL,1,1
619,6165-6166,FR-FS,FR,FS,90,92,FIX,FIX,0,1
620,6210-6211,G0-G1,G0,G1,30,39,FIX,FIX,1,1
621,6134-6134,NIV.621,#N/A,#N/A,-1,100,NIV,DEL,0,1
622,6099-6152,DEL.D1-FE,D1,FE,18,52,DEL,DEL,1,1
623,6140-6152,E3-FE,E3,FE,52,75,FIX,FIX,1,1
624,6151-6152,FD-FE,FD,FE,16,52,FIX,FIX,1,1
625,-,NIV.625,#N/A,#N/A,-1,100,NIV,DEL,0,1
626,5959-5967,AA-AI,AA,AI,17,46,FIX,FIX,1,1
627,6346-6346,NIV.627,#N/A,#N/A,-1,100,NIV,DEL,0,1
628,6346-6457,DEL.KP-NO,KP,NO,-1,-1,DEL,DEL,1,1
629,6457-6470,DEL.NO-N1,NO,N1,-1,85,DEL,DEL,1,1
630,6469-6470,DEL.N0-N1,N0,N1,65,85,DEL,DEL,1,1
631,6372-6469,LD-N0,LD,N0,35,65,FIX,FIX,0,1
632,6372-6377,LD-LI,LD,LI,29,35,FIX,FIX,0,1
633,6377-6496,DEL.LI-OR,LI,OR,28,29,DEL,DEL,0,1
634,6490-6496,OL-OR,OL,OR,28,62,FIX,FIX,1,1
635,6490-6491,OL-OM,OL,OM,62,83,FIX,FIX,1,1
636,6491-6492,OM-ON,OM,ON,50,83,FIX,FIX,1,1
637,6317-6492,JX-ON,JX,ON,50,60,FIX,FIX,1,1
638,6317-6318,JX-JY,JX,JY,53,60,FIX,FIX,1,1
639,6318-6320,DEL.JY-J0,JY,J0,53,55,DEL,DEL,0,1
640,6315-6320,DEL.JV-J0,JV,J0,55,56,DEL,DEL,0,1
641,6314-6315,JU-JV,JU,JV,21,56,FIX,FIX,0,1
642,6314-6322,JU-J2,JU,J2,21,45,FIX,FIX,1,1
643,6321-6322,DEL.J1-J2,J1,J2,19,45,DEL,DEL,1,1
644,6320-6321,J0-J1,J0,J1,19,55,FIX,FIX,0,1
645,6611-6611,NIV.645,#N/A,#N/A,-1,100,NIV,DEL,0,1
646,6611-6628,DEL.RR-R6,RR,R6,17,89,DEL,DEL,1,1
647,6626-6628,R4-R6,R4,R6,89,93,FIX,FIX,1,1
648,6625-6626,R3-R4,R3,R4,32,93,FIX,FIX,1,1
649,6533-6625,PQ-R3,PQ,R3,32,56,FIX,FIX,0,1
650,6532-6533,PP-PQ,PP,PQ,55,56,FIX,FIX,0,1
651,6531-6532,DEL.PO-PP,PO,PP,42,55,DEL,DEL,0,1
652,6530-6531,DEL.PN-PO,PN,PO,42,58,DEL,DEL,1,1
653,6449-6530,NG-PN,NG,PN,54,58,FIX,FIX,1,1
654,6449-6544,DEL.NG-P1,NG,P1,45,54,DEL,DEL,0,1
655,6544-6545,DEL.P1-P2,P1,P2,44,45,DEL,DEL,0,1
656,6531-6545,PO-P2,PO,P2,42,44,FIX,FIX,0,1
657,6527-6531,DEL.PK-PO,PK,PO,41,42,DEL,DEL,0,1
658,6430-6527,MX-PK,MX,PK,41,49,FIX,FIX,0,1
659,6429-6430,MW-MX,MW,MX,49,76,FIX,FIX,1,1
660,6429-6528,MW-PL,MW,PL,1,76,FIX,FIX,1,1
661,6528-6530,PL-PN,PL,PN,1,58,FIX,FIX,1,1
662,6226-6226,NIV.662,#N/A,#N/A,-1,100,NIV,DEL,0,1
663,6217-6226,DEL.G7-HG,G7,HG,80,81,DEL,DEL,0,1
664,6204-6217,DEL.GU-G7,GU,G7,81,82,DEL,DEL,0,1
665,6204-6212,GU-G2,GU,G2,67,82,FIX,FIX,0,1
666,6212-6213,G2-G3,G2,G3,7,67,FIX,FIX,0,1
667,6213-6220,DEL.G3-HA,G3,HA,7,89,DEL,DEL,1,1
668,6220-6268,HA-IK,HA,IK,35,89,FIX,FIX,1,1
669,6267-6268,DEL.IJ-IK,IJ,IK,35,93,DEL,DEL,1,1
670,6251-6267,H4-IJ,H4,IJ,33,93,FIX,FIX,1,1
671,6251-6252,H4-H5,H4,H5,32,33,FIX,FIX,0,1
672,6252-6253,H5-H6,H5,H6,31,32,FIX,FIX,0,1
673,6253-6266,H6-II,H6,II,31,46,FIX,FIX,0,1
674,6265-6266,IH-II,IH,II,23,46,FIX,FIX,0,1
675,6265-6310,IH-JQ,IH,JQ,23,24,FIX,FIX,0,1
676,6309-6310,DEL.JP-JQ,JP,JQ,24,30,DEL,DEL,1,1
677,6255-6309,DEL.H8-JP,H8,JP,30,44,DEL,DEL,1,1
678,6254-6255,H7-H8,H7,H8,44,94,FIX,FIX,1,1
679,6253-6254,H6-H7,H6,H7,31,94,FIX,FIX,1,1
680,-,NIV.680,#N/A,#N/A,-1,100,NIV,DEL,0,1
681,6245-6245,NIV.681,#N/A,#N/A,-1,100,NIV,DEL,0,1
682,6245-6250,HY-H3,HY,H3,15,17,FIX,FIX,0,1
683,6249-6250,H2-H3,H2,H3,17,18,FIX,FIX,0,1
684,6221-6249,DEL.HB-H2,HB,H2,18,90,DEL,DEL,1,1
685,6220-6221,HA-HB,HA,HB,89,90,FIX,FIX,1,1
686,6219-6220,DEL.G9-HA,G9,HA,89,95,DEL,DEL,1,1
687,6219-6278,G9-IU,G9,IU,37,95,FIX,FIX,1,1
688,6278-6279,IU-IV,IU,IV,37,77,FIX,FIX,1,1
689,6274-6279,IQ-IV,IQ,IV,6,77,FIX,FIX,1,1
690,6273-6274,IP-IQ,IP,IQ,6,69,FIX,FIX,0,1
691,6273-6282,IP-IY,IP,IY,57,69,FIX,FIX,0,1
692,6281-6282,IX-IY,IX,IY,28,57,FIX,FIX,0,1
693,6281-6292,IX-I8,IX,I8,12,28,FIX,FIX,0,1
694,6011-6292,DEL.I8-BL,I8,BL,12,29,DEL,DEL,0,1
695,6011-6462,DEL.BL-NT,BL,NT,29,98,DEL,DEL,1,1
696,6284-6462,I0-NT,I0,NT,58,98,FIX,FIX,1,1
697,6284-6285,I0-I1,I0,I1,18,58,FIX,FIX,0,1
698,6285-6324,I1-J4,I1,J4,9,18,FIX,FIX,1,1
699,6324-6331,J4-KB,J4,KB,9,61,FIX,FIX,1,1
700,6330-6331,KA-KB,KA,KB,61,68,FIX,FIX,1,1
701,6329-6330,J9-KA,J9,KA,10,68,FIX,FIX,1,1
702,6328-6329,J8-J9,J8,J9,10,13,FIX,FIX,1,1
703,6317-6328,JX-J8,JX,J8,13,60,FIX,FIX,1,1
704,-,NIV.704,#N/A,#N/A,-1,100,NIV,DEL,0,1
705,6272-6273,IO-IP,IO,IP,1,69,FIX,FIX,0,1
706,6261-6272,ID-IO,ID,IO,1,75,FIX,FIX,0,1
707,6260-6261,IC-ID,IC,ID,74,75,FIX,FIX,0,1
708,6260-6262,IC-IE,IC,IE,49,74,FIX,FIX,0,1
709,6262-6263,IE-IF,IE,IF,48,49,FIX,FIX,0,1
710,6263-6270,DEL.IF-IM,IF,IM,3,48,DEL,DEL,0,1
711,6270-6271,IM-IN,IM,IN,3,4,FIX,FIX,0,1
712,6259-6271,IB-IN,IB,IN,4,88,FIX,FIX,1,1
713,6259-6260,DEL.IB-IC,IB,IC,74,88,DEL,DEL,1,1
714,6279-6280,IV-IW,IV,IW,7,77,FIX,FIX,1,1
715,6280-6281,IW-IX,IW,IX,7,28,FIX,FIX,0,1
716,6285-6286,I1-I2,I1,I2,18,59,FIX,FIX,0,1
717,6272-6286,IO-I2,IO,I2,1,59,FIX,FIX,0,1
718,6627-6628,DEL.R5-R6,R5,R6,-1,89,DEL,DEL,1,1
719,6612-6627,DEL.RS-R5,RS,R5,-1,38,DEL,DEL,1,1
720,6612-6613,RS-RT,RS,RT,38,40,FIX,FIX,0,1
721,6613-6614,DEL.RT-RU,RT,RU,40,47,DEL,DEL,0,1
722,6614-6615,RU-RV,RU,RV,47,48,FIX,FIX,0,1
723,6615-6615,NIV.723,#N/A,#N/A,-1,100,NIV,DEL,0,1
724,6107-6107,NIV.724,#N/A,#N/A,-1,100,NIV,DEL,0,1
725,6106-6107,D7-D8,D7,D8,36,43,FIX,FIX,0,1
726,6105-6106,D6-D7,D6,D7,35,36,FIX,FIX,0,1
727,6104-6105,D5-D6,D5,D6,35,97,FIX,FIX,1,1
728,6103-6104,D4-D5,D4,D5,32,97,FIX,FIX,1,1
729,6012-6103,DEL.D4-BM,D4,BM,31,32,DEL,DEL,0,1
730,6012-6012,NIV.730,#N/A,#N/A,-1,100,NIV,DEL,0,1
731,6246-6247,NIV.731,#N/A,#N/A,-1,100,NIV,DEL,0,1
732,6246-6246,NIV.732,#N/A,#N/A,-1,100,NIV,DEL,0,1
733,6467-6467,NIV.733,#N/A,#N/A,-1,100,NIV,DEL,0,1
734,6350-6467,DEL.KS-NY,KS,NY,-1,33,DEL,DEL,1,1
735,6344-6350,DEL.KO-KS,KO,KS,-1,33,DEL,DEL,1,1
736,6343-6344,DEL.KN-KO,KN,KO,-1,30,DEL,DEL,1,1
737,6342-6347,DEL.KM-KQ,KM,KQ,61,67,DEL,DEL,1,1
738,6250-6251,H3-H4,H3,H4,17,33,FIX,FIX,0,1
739,6269-6270,IL-IM,IL,IM,3,38,FIX,FIX,0,1
740,6268-6269,IK-IL,IK,IL,35,38,FIX,FIX,0,1
741,6011-6011,NIV.741,#N/A,#N/A,-1,100,NIV,DEL,0,1
742,6327-6470,J7-N1,J7,N1,47,85,FIX,FIX,1,1
743,6327-6328,J7-J8,J7,J8,13,47,FIX,FIX,1,1
744,6326-6327,J6-J7,J6,J7,47,99,FIX,FIX,1,1
745,6326-6459,DEL.J6-NQ,J6,NQ,39,99,DEL,DEL,1,1
746,6458-6459,DEL.NP-NQ,NP,NQ,39,86,DEL,DEL,1,1
747,6457-6458,DEL.NO-NP,NO,NP,-1,86,DEL,DEL,1,1
748,6325-6326,J5-J6,J5,J6,15,99,FIX,FIX,1,1
749,6325-6329,J5-J9,J5,J9,10,15,FIX,FIX,0,1
750,6459-6460,NQ-NR,NQ,NR,39,40,FIX,FIX,0,1
751,6104-6460,DEL.D5-NR,D5,NR,40,97,DEL,DEL,1,1
752,6261-6274,ID-IQ,ID,IQ,6,75,FIX,FIX,0,1
753,-,NIV.753,#N/A,#N/A,-1,100,NIV,DEL,0,1
754,6315-6316,JV-JW,JV,JW,56,63,FIX,FIX,0,1
755,6575-6576,QU-QV,QU,QV,8,75,FIX,FIX,0,1
756,6576-6577,QV-QW,QV,QW,20,75,FIX,FIX,0,1
757,6319-6577,JZ-QW,JZ,QW,20,54,FIX,FIX,0,1
758,6318-6319,JY-JZ,JY,JZ,53,54,FIX,FIX,0,1
759,6255-6256,DEL.H8-H9,H8,H9,43,44,DEL,DEL,0,1
760,6240-6256,DEL.HT-H9,HT,H9,43,97,DEL,DEL,1,1
761,6240-6241,HT-HU,HT,HU,27,97,FIX,FIX,1,1
762,6237-6241,HQ-HU,HQ,HU,13,27,FIX,FIX,0,1
763,6236-6237,HP-HQ,HP,HQ,12,13,FIX,FIX,0,1
764,6236-6243,DEL.HP-HW,HP,HW,12,25,DEL,DEL,0,1
765,6243-6244,HW-HX,HW,HX,22,25,FIX,FIX,1,1
766, ,HX-T9,HX,T9,22,36,NEW,FIX,1,1
767,-,NIV.767,#N/A,#N/A,-1,100,NIV,DEL,0,1
768,6242-6243,HV-HW,HV,HW,25,26,FIX,FIX,0,1
769,6241-6242,HU-HV,HU,HV,26,27,FIX,FIX,0,1
770,6262-6313,IE-JT,IE,JT,49,96,FIX,FIX,1,1
771,6312-6313,DEL.JS-JT,JS,JT,51,96,DEL,DEL,1,1
772,6311-6312,DEL.JR-JS,JR,JS,34,51,DEL,DEL,1,1
773,6308-6311,DEL.JO-JR,JO,JR,34,58,DEL,DEL,1,1
774,6308-6313,DEL.JO-JT,JO,JT,58,96,DEL,DEL,1,1
775,6300-6308,DEL.JG-JO,JG,JO,58,59,DEL,DEL,0,1
776,6299-6300,JF-JG,JF,JG,55,59,FIX,FIX,0,1
777,6298-6299,JE-JF,JE,JF,55,76,FIX,FIX,0,1
778,6297-6298,JD-JE,JD,JE,75,76,FIX,FIX,0,1
779,6296-6297,JC-JD,JC,JD,53,75,FIX,FIX,0,1
780,6295-6296,JB-JC,JB,JC,42,53,FIX,FIX,0,1
781,6294-6295,DEL.JA-JB,JA,JB,41,42,DEL,DEL,0,1
782,6242-6294,HV-JA,HV,JA,26,41,FIX,FIX,0,1
783,6306-6307,JM-JN,JM,JN,5,28,FIX,FIX,1,1
784,-,NIV.784,#N/A,#N/A,-1,100,NIV,DEL,0,1
785,6626-6627,DEL.R4-R5,R4,R5,-1,93,DEL,DEL,1,1
786,6575-6583,QU-Q2,QU,Q2,8,52,FIX,FIX,0,1
787,6582-6583,Q1-Q2,Q1,Q2,52,81,FIX,FIX,0,1
788,6582-6591,Q1-Q9,Q1,Q9,81,82,FIX,FIX,0,1
789,6590-6591,DEL.Q8-Q9,Q8,Q9,82,90,DEL,DEL,0,1
790,6588-6590,DEL.Q6-Q8,Q6,Q8,-1,90,DEL,DEL,1,1
791,6587-6588,DEL.Q5-Q6,Q5,Q6,-1,88,DEL,DEL,1,1
792,6584-6587,Q3-Q5,Q3,Q5,11,88,FIX,FIX,0,1
793,6584-6606,DEL.Q3-RM,Q3,RM,11,98,DEL,DEL,0,1
794,6605-6606,RL-RM,RL,RM,98,99,FIX,FIX,0,1
795,6605-6608,DEL.RL-RO,RL,RO,4,99,DEL,DEL,0,1
796,6607-6608,DEL.RN-RO,RN,RO,4,97,DEL,DEL,0,1
797,6595-6607,RD-RN,RD,RN,96,97,FIX,FIX,0,1
798,6594-6595,RC-RD,RC,RD,95,96,FIX,FIX,0,1
799,6593-6594,DEL.RB-RC,RB,RC,-1,95,DEL,DEL,1,1
800,6588-6593,DEL.Q6-RB,Q6,RB,-1,-1,DEL,DEL,1,1
801,6605-6996,RL-SA,RL,SA,57,99,FIX,FIX,1,1
802,6598-6996,DEL.RF-SA,RF,SA,2,57,DEL,DEL,1,1
803,6598-6599,RF-RG,RF,RG,2,7,FIX,FIX,0,1
804, ,RG-YF,RG,YF,7,62,NEW,FIX,1,1
805,6600-6602,DEL.RH-RJ,RH,RJ,-1,10,DEL,DEL,1,1
806,6601-6602,DEL.RI-RJ,RI,RJ,10,92,DEL,DEL,1,1
807,6600-6601,DEL.RH-RI,RH,RI,-1,92,DEL,DEL,1,1
808,6568-6583,QN-Q2,QN,Q2,52,74,FIX,FIX,0,1
809,6568-6569,QN-QO,QN,QO,74,80,FIX,FIX,0,1
810,6569-6570,DEL.QO-QP,QO,QP,71,80,DEL,DEL,0,1
811,6570-6571,QP-QQ,QP,QQ,70,71,FIX,FIX,0,1
812,6571-6572,DEL.QQ-QR,QQ,QR,68,70,DEL,DEL,0,1
813,6572-6573,QR-QS,QR,QS,67,68,FIX,FIX,0,1
814,6573-6574,QS-QT,QS,QT,66,67,FIX,FIX,0,1
815,6555-6574,DEL.QA-QT,QA,QT,66,79,DEL,DEL,0,1
816,6554-6555,P9-QA,P9,QA,78,79,FIX,FIX,0,1
817,6553-6554,P8-P9,P8,P9,65,78,FIX,FIX,0,1
818,6548-6553,P3-P8,P3,P8,1,65,FIX,FIX,0,1
819,6305-6548,DEL.JL-P3,JL,P3,1,54,DEL,DEL,0,1
820,6304-6305,DEL.JK-JL,JK,JL,54,77,DEL,DEL,0,1
821,6297-6304,DEL.JD-JK,JD,JK,75,77,DEL,DEL,0,1
822,6586-6587,Q4-Q5,Q4,Q5,87,88,FIX,FIX,0,1
823,6557-6586,DEL.QC-Q4,QC,Q4,39,87,DEL,DEL,1,1
824,6557-6558,QC-QD,QC,QD,39,85,FIX,FIX,1,1
825,6558-6560,DEL.QD-QF,QD,QF,76,85,DEL,DEL,0,1
826,6560-6561,QF-QG,QF,QG,76,77,FIX,FIX,0,1
827,6556-6561,QB-QG,QB,QG,77,83,FIX,FIX,0,1
828,6556-6557,QB-QC,QB,QC,39,83,FIX,FIX,1,1
829,6549-6549,NIV.829,#N/A,#N/A,-1,100,NIV,DEL,0,1
830,6549-6549,NIV.830,#N/A,#N/A,-1,100,NIV,DEL,0,1
831,6554-6554,NIV.831,#N/A,#N/A,-1,100,NIV,DEL,0,1
832,6569-6590,QO-Q8,QO,Q8,80,90,FIX,FIX,0,1
833,6548-6560,DEL.P3-QF,P3,QF,1,76,DEL,DEL,0,1
834,6597-6598,RE-RF,RE,RF,2,16,FIX,FIX,1,1
835,6597-6622,RE-R1,RE,R1,13,16,FIX,FIX,1,1
836,6610-6622,DEL.RQ-R1,RQ,R1,12,13,DEL,DEL,0,1
