FID,code,id,oldnr,newnr,oldstatus,newstatus,change,ok
537,RP,6609,3,3,FIX,FIX,0,1
538,RO,6608,4,4,FIX,FIX,0,1
539,RQ,6610,12,12,FIX,FIX,0,1
540,RR,6611,-36,17,FIX,FIX,1,1
541,RS,6612,38,38,FIX,FIX,0,1
542,RT,6613,40,40,FIX,FIX,0,1
543,RU,6614,47,47,FIX,FIX,0,1
544,RV,6615,48,48,FIX,FIX,0,1
545,RX,6618,51,51,FIX,FIX,0,1
546,RW,6617,46,46,FIX,FIX,0,1
547,RY,6619,52,52,FIX,FIX,0,1
548,RZ,6620,50,50,FIX,FIX,0,1
549,R0,6621,49,49,FIX,FIX,0,1
550,R1,6622,13,13,FIX,FIX,0,1
551,R2,6624,26,26,FIX,FIX,0,1
552,R3,6625,32,32,FIX,FIX,0,1
553,R4,6626,-33,93,FIX,FIX,1,1
554,R5,6627,39,-1,DEL,DEL,1,1
555,R6,6628,-30,89,FIX,FIX,1,1
556,R7,6629,34,-1,DEL,DEL,1,1
557,R8,6630,35,35,FIX,FIX,0,1
558,EK,6119,1,1,FIX,FIX,0,1
559,I2,6286,59,59,FIX,FIX,0,1
560,I1,6285,18,18,FIX,FIX,0,1
561,I0,6284,58,58,FIX,FIX,0,1
562,IZ,6283,14,14,FIX,FIX,0,1
563,IY,6282,57,57,FIX,FIX,0,1
564,IX,6281,28,28,FIX,FIX,0,1
565,IW,6280,7,7,FIX,FIX,0,1
566,IV,6279,11,77,IN,FIX,1,1
567,IU,6278,37,37,FIX,FIX,0,1
568,IT,6277,36,36,FIX,FIX,0,1
569,IS,6276,39,39,FIX,FIX,0,1
570,IR,6275,5,5,FIX,FIX,0,1
571,IQ,6274,6,6,FIX,FIX,0,1
572,IP,6273,69,69,FIX,FIX,0,1
573,IO,6272,1,1,FIX,FIX,0,1
574,HN,6233,1,1,FIX,FIX,0,1
575,SA,6996,-5,57,FIX,FIX,1,1
576,KQ,6347,79,67,IN,FIX,1,1
577,SC,6999,4,4,IN,FIX,0,1
578,KN,6343,30,30,FIX,FIX,0,1
579,KO,6344,32,-1,DEL,DEL,1,1
580,KS,6350,33,33,FIX,FIX,0,1
581,SD,7087,4,71,IN,FIX,1,1
582,SE,7088,8,8,IN,FIX,0,1
583,BC,6001,45,45,FIX,FIX,0,1
584,A6,5994,46,49,IN,FIX,1,1
585,BD,6002,51,59,IN,FIX,1,1
586,BB,5999,50,50,FIX,FIX,0,1
587,BA,5998,53,53,FIX,FIX,0,1
588,SI,7155,96,96,EXT,EXT,0,1
589,SH,7154,31,31,EXT,EXT,0,1
590,SJ,7156,98,98,EXT,EXT,0,1
591,C1,6063,58,82,IN,FIX,1,1
592,DY,6096,64,15,IN,FIX,1,1
593,FB,6149,65,65,FIX,FIX,0,1
594,SN,7160,70,70,EXT,EXT,0,1
595,SP,7162,94,94,EXT,EXT,0,1
596,SO,7161,99,99,EXT,EXT,0,1
597,SM,7159,5,5,EXT,EXT,0,1
598,SK,7157,3,3,EXT,EXT,0,1
599,C5,6067,54,54,FIX,FIX,0,1
600,C4,6066,57,40,IN,FIX,1,1
601,FC,6150,66,66,FIX,FIX,0,1
602,FA,6148,1,1,EXT,EXT,0,1
603,E9,6147,2,2,EXT,EXT,0,1
604,SR,7164,4,4,EXT,EXT,0,1
605,SQ,7163,8,8,EXT,EXT,0,1
606,E8,6145,78,78,FIX,FIX,0,1
607,E7,6144,77,77,FIX,FIX,0,1
608,E6,6143,82,17,IN,FIX,1,1
609,SS,7165,9,9,EXT,EXT,0,1
610,ST,7166,10,10,EXT,EXT,0,1
611,SU,7167,11,11,EXT,EXT,0,1
612,SV,7168,79,79,EXT,EXT,0,1
613,FL,6159,86,86,FIX,FIX,0,1
614,SW,7169,93,93,EXT,EXT,0,1
615,SX,7170,90,90,EXT,EXT,0,1
616,SY,7171,98,98,EXT,EXT,0,1
617,FK,6158,95,26,IN,FIX,1,1
618,FP,6163,96,96,IN,FIX,0,1
619,F7,6181,97,97,IN,FIX,0,1
620,F8,6182,92,92,FIX,FIX,0,1
621,SZ,7172,99,99,EXT,EXT,0,1
622,G1,6211,39,39,FIX,FIX,0,1
623,F9,6183,98,55,IN,FIX,1,1
624,S0,7173,1,1,EXT,EXT,0,1
625,S1,7174,2,2,EXT,EXT,0,1
626,G0,6210,43,30,IN,FIX,1,1
627,KH,6337,49,49,FIX,FIX,0,1
628,S3,7176,8,8,EXT,EXT,0,1
629,S2,7175,10,10,EXT,EXT,0,1
630,S4,7177,4,4,EXT,EXT,0,1
631,K8,6366,1,57,IN,FIX,1,1
632,KG,6336,48,69,IN,FIX,1,1
633,S5,7178,81,81,EXT,EXT,0,1
634,S6,7179,16,16,EXT,EXT,0,1
635,K9,6367,2,-1,DEL,DEL,1,1
636,S7,7180,88,88,EXT,EXT,0,1
637,S8,7181,83,83,EXT,EXT,0,1
638,LA,6368,3,-1,DEL,DEL,1,1
639,MF,6411,5,5,IN,FIX,0,1
640,TC,7185,98,98,EXT,EXT,0,1
641,TB,7184,97,97,EXT,EXT,0,1
642,TD,7186,99,99,EXT,EXT,0,1
643,S9,7182,96,96,EXT,EXT,0,1
644,TA,7183,93,93,EXT,EXT,0,1
645,TE,7187,90,90,EXT,EXT,0,1
646,TF,7188,82,82,EXT,EXT,0,1
647,TG,7189,86,86,EXT,EXT,0,1
648,MD,6409,87,87,FIX,FIX,0,1
649,TI,7191,84,84,EXT,EXT,0,1
650,TH,7190,85,85,EXT,EXT,0,1
651,MJ,6416,88,88,EXT,EXT,0,1
652,ML,6418,4,24,IN,FIX,1,1
653,TK,7193,32,32,EXT,EXT,0,1
654,TL,7194,33,33,EXT,EXT,0,1
655,TM,7195,31,31,EXT,EXT,0,1
656,N9,6478,6,6,FIX,FIX,0,1
657,OC,6481,13,13,IN,FIX,0,1
658,OB,6480,18,18,FIX,FIX,0,1
659,TO,7197,38,38,EXT,EXT,0,1
660,TP,7198,42,42,EXT,EXT,0,1
661,TQ,7199,37,37,EXT,EXT,0,1
662,OF,6484,15,15,IN,FIX,0,1
663,OG,6485,16,16,FIX,FIX,0,1
664,OH,6486,19,19,FIX,FIX,0,1
665,TS,7201,4,4,EXT,EXT,0,1
666,TU,7203,5,5,EXT,EXT,0,1
667,OJ,6488,10,10,FIX,FIX,0,1
668,TW,7205,2,2,EXT,EXT,0,1
669,OI,6487,11,11,IN,FIX,0,1
670,OK,6489,17,17,IN,FIX,0,1
671,TX,7206,1,1,EXT,EXT,0,1
672,TV,7204,3,3,EXT,EXT,0,1
673,TT,7202,6,6,EXT,EXT,0,1
674,TR,7200,45,45,EXT,EXT,0,1
675,TZ,7211,95,95,FIX,FIX,0,1
676,TY,7210,94,94,FIX,FIX,0,1
677,T0,7426,52,52,IN,FIX,0,1
678,D4,6103,32,32,FIX,FIX,0,1
679,BM,6012,31,31,FIX,FIX,0,1
680,KK,6340,52,52,IN,FIX,0,1
681,KJ,6339,51,9,IN,FIX,1,1
682,KI,6338,50,50,IN,FIX,0,1
683,BI,6008,23,76,IN,FIX,1,1
684,GN,6197,29,29,FIX,FIX,0,1
685,HI,6228,-18,84,FIX,FIX,1,1
686,N0,6469,65,65,FIX,FIX,0,1
687,PK,6527,41,41,FIX,FIX,0,1
688,P1,6544,45,45,FIX,FIX,0,1
689,PL,6528,1,1,IN,FIX,0,1
690,MW,6429,37,76,IN,FIX,1,1
691,TN,7196,35,35,EXT,EXT,0,1
692,TJ,7192,34,34,EXT,EXT,0,1
693,PN,6530,43,58,IN,FIX,1,1
694,OO,6493,-30,84,FIX,FIX,1,1
695,LI,6377,29,29,FIX,FIX,0,1
696,GF,6189,3,80,IN,FIX,1,1
697,NG,6449,54,54,IN,FIX,0,1
698,SB,6997,34,34,FIX,FIX,0,1
699,LH,6376,36,36,FIX,FIX,0,1
700,LD,6372,35,35,FIX,FIX,0,1
701,MX,6430,49,49,FIX,FIX,0,1
702,SF,7152,29,29,EXT,EXT,0,1
703,SG,7153,30,30,EXT,EXT,0,1
704,N5,6474,83,-1,DEL,DEL,1,1
705,AH,5966,16,16,FIX,FIX,0,1
706,AI,5967,17,17,FIX,FIX,0,1
707,K7,6365,23,53,IN,FIX,1,1
708,GM,6196,28,28,FIX,FIX,0,1
709,T1,0,0,50,NEW,FIX,1,1
710,T2,0,0,76,NEW,FIX,1,1
711,T3,0,0,59,NEW,FIX,1,1
712,T4,0,0,84,NEW,FIX,1,1
713,T5,0,0,39,NEW,FIX,1,1
714,T6,0,0,71,NEW,FIX,1,1
715,T8,0,0,34,NEW,FIX,1,1
716,T9,0,0,36,NEW,FIX,1,1
717,UA,0,0,85,NEW,FIX,1,1
718,UB,0,0,9,NEW,FIX,1,1
719,UC,0,0,75,NEW,FIX,1,1
720,UD,0,0,69,NEW,FIX,1,1
721,T7,0,0,21,NEW,FIX,1,1
722,UE,0,0,62,NEW,FIX,1,1
723,UF,0,0,56,NEW,FIX,1,1
724,UG,0,0,20,NEW,FIX,1,1
725,UH,0,0,48,NEW,FIX,1,1
726,UI,0,0,60,NEW,FIX,1,1
727,UJ,0,0,85,NEW,FIX,1,1
728,UK,0,0,30,NEW,FIX,1,1
729,UM,0,0,28,NEW,FIX,1,1
730,UL,0,0,61,NEW,FIX,1,1
731,UO,0,0,53,NEW,FIX,1,1
732,UP,0,0,40,NEW,FIX,1,1
733,UQ,0,0,70,NEW,FIX,1,1
734,UR,0,0,78,NEW,FIX,1,1
735,US,0,0,80,NEW,FIX,1,1
736,UT,0,0,63,NEW,FIX,1,1
737,UU,0,0,67,NEW,FIX,1,1
738,UV,0,0,45,NEW,FIX,1,1
739,UW,0,0,99,NEW,FIX,1,1
740,UY,0,0,65,NEW,FIX,1,1
741,UZ,0,0,90,NEW,FIX,1,1
742,U0,0,0,88,NEW,FIX,1,1
743,U1,0,0,92,NEW,FIX,1,1
744,U2,0,0,22,NEW,FIX,1,1
745,U3,0,0,13,NEW,FIX,1,1
746,VG,0,0,95,NEW,FIX,1,1
747,U5,0,0,11,NEW,FIX,1,1
748,U4,0,0,89,NEW,FIX,1,1
749,U7,0,0,64,NEW,FIX,1,1
750,U8,0,0,54,NEW,FIX,1,1
751,VH,0,0,52,NEW,FIX,1,1
752,VI,0,0,82,NEW,FIX,1,1
753,U9,0,0,71,NEW,FIX,1,1
754,VA,0,0,50,NEW,FIX,1,1
755,VB,0,0,81,NEW,FIX,1,1
756,VC,0,0,80,NEW,FIX,1,1
757,VF,0,0,27,NEW,FIX,1,1
758,VK,0,0,46,NEW,FIX,1,1
759,VL,0,0,57,NEW,FIX,1,1
760,VM,0,0,56,NEW,FIX,1,1
761,VE,0,0,17,NEW,FIX,1,1
762,VD,0,0,86,NEW,FIX,1,1
763,VN,0,0,26,NEW,FIX,1,1
764,VO,0,0,56,NEW,FIX,1,1
765,VP,0,0,16,NEW,FIX,1,1
766,VQ,0,0,46,NEW,FIX,1,1
767,VR,0,0,21,NEW,FIX,1,1
768,VT,0,0,44,NEW,FIX,1,1
769,VX,0,0,63,NEW,FIX,1,1
770,VW,0,0,11,NEW,FIX,1,1
771,VY,0,0,72,NEW,FIX,1,1
772,VU,0,0,27,NEW,FIX,1,1
773,VV,0,0,24,NEW,FIX,1,1
774,VZ,0,0,92,NEW,FIX,1,1
775,V4,0,0,61,NEW,FIX,1,1
776,V3,0,0,3,NEW,FIX,1,1
777,V2,0,0,73,NEW,FIX,1,1
778,V1,0,0,13,NEW,FIX,1,1
779,V0,0,0,75,NEW,FIX,1,1
780,V5,0,0,65,NEW,FIX,1,1
781,V6,0,0,93,NEW,FIX,1,1
782,V7,0,0,62,NEW,FIX,1,1
783,V8,0,0,22,NEW,FIX,1,1
784,V9,0,0,82,NEW,FIX,1,1
785,WA,0,0,83,NEW,FIX,1,1
786,WB,0,0,72,NEW,FIX,1,1
787,WC,0,0,36,NEW,FIX,1,1
788,WD,0,0,49,NEW,FIX,1,1
789,WE,0,0,9,NEW,FIX,1,1
790,WF,0,0,30,NEW,FIX,1,1
791,WG,0,0,69,NEW,FIX,1,1
792,WH,0,0,20,NEW,FIX,1,1
793,WI,0,0,70,NEW,FIX,1,1
794,WK,0,0,58,NEW,FIX,1,1
795,WM,0,0,90,NEW,FIX,1,1
796,WL,0,0,48,NEW,FIX,1,1
797,WO,0,0,25,NEW,FIX,1,1
798,WP,0,0,62,NEW,FIX,1,1
799,WJ,0,0,49,NEW,FIX,1,1
800,WQ,0,0,14,NEW,FIX,1,1
801,WR,0,0,64,NEW,FIX,1,1
802,WS,0,0,95,NEW,FIX,1,1
803,WT,0,0,42,NEW,FIX,1,1
804,UN,0,0,99,NEW,FIX,1,1
805,WU,0,0,78,NEW,FIX,1,1
806,WW,0,0,77,NEW,FIX,1,1
807,WY,0,0,96,NEW,FIX,1,1
808,WV,0,0,58,NEW,FIX,1,1
809,WX,0,0,57,NEW,FIX,1,1
810,W0,0,0,80,NEW,FIX,1,1
811,WZ,0,0,81,NEW,FIX,1,1
812,W1,0,0,85,NEW,FIX,1,1
813,W2,0,0,72,NEW,FIX,1,1
814,W3,0,0,86,NEW,FIX,1,1
815,W4,0,0,38,NEW,FIX,1,1
816,W5,0,0,68,NEW,FIX,1,1
817,W6,0,0,5,NEW,FIX,1,1
818,W7,0,0,75,NEW,FIX,1,1
819,W8,0,0,61,NEW,FIX,1,1
820,W9,0,10,10,FIXNEW,FIXNEW,0,1
821,XA,0,0,21,NEW,FIX,1,1
822,XB,0,30,30,EXTNEW,EXT,0,1
823,XC,0,0,59,NEW,FIX,1,1
824,XD,0,0,14,NEW,FIX,1,1
825,XE,0,0,33,NEW,FIX,1,1
826,XF,0,0,63,NEW,FIX,1,1
827,XG,0,0,65,NEW,FIX,1,1
828,XH,0,0,39,NEW,FIX,1,1
829,XI,0,0,69,NEW,FIX,1,1
830,XJ,0,0,66,NEW,FIX,1,1
831,XK,0,0,98,NEW,FIX,1,1
832,XL,0,0,53,NEW,FIX,1,1
833,XM,0,31,31,EXTNEW,EXT,0,1
834,XN,0,30,30,FIXNEW,FIXNEW,0,1
835,XP,0,0,60,NEW,FIX,1,1
836,XQ,0,1,1,EXTNEW,EXT,0,1
837,XO,0,15,15,EXTNEW,EXT,0,1
838,XR,0,0,20,NEW,FIX,1,1
839,XS,0,0,28,NEW,FIX,1,1
840,XT,0,0,22,NEW,FIX,1,1
841,XU,0,0,NaN,EXTNEW,EXT,1,1
842,XW,0,0,29,NEW,FIX,1,1
843,XX,0,0,8,NEW,FIX,1,1
844,XY,0,0,27,NEW,FIX,1,1
845,XZ,0,0,NaN,EXTNEW,EXT,1,1
846,X0,0,0,NaN,EXTNEW,EXT,1,1
847,XV,0,0,NaN,EXTNEW,EXT,1,1
848,X2,0,0,76,NEW,FIX,1,1
849,X1,0,0,9,NEW,FIX,1,1
850,X3,0,0,36,NEW,FIX,1,1
851,X4,0,0,54,NEW,FIX,1,1
852,X5,0,0,84,NEW,FIX,1,1
853,YF,0,0,62,NEW,FIX,1,1
854,X6,0,0,55,NEW,FIX,1,1
855,X7,0,0,45,NEW,FIX,1,1
856,X8,0,0,23,NEW,FIX,1,1
857,YA,0,0,34,NEW,FIX,1,1
858,X9,0,0,61,NEW,FIX,1,1
859,YG,0,0,93,NEW,FIX,1,1
860,YJ,0,0,NaN,EXTNEW,EXT,1,1
861,YK,0,0,NaN,EXTNEW,EXT,1,1
862,YB,0,0,15,NEW,FIX,1,1
863,YD,0,0,50,NEW,FIX,1,1
864,YC,0,0,56,NEW,FIX,1,1
865,YN,0,0,18,NEW,FIX,1,1
866,YO,0,0,71,NEW,FIX,1,1
867,YL,0,0,NaN,EXTNEW,EXT,1,1
868,YP,0,0,21,NEW,FIX,1,1
869,YM,0,0,NaN,EXTNEW,EXT,1,1
870,YE,0,0,31,NEW,FIX,1,1
871,YQ,0,0,38,NEW,FIX,1,1
872,YR,0,0,28,NEW,FIX,1,1
873,YS,0,0,24,NEW,FIX,1,1
874,YU,0,0,46,NEW,FIX,1,1
875,YT,0,0,40,NEW,FIX,1,1
876,YV,0,0,16,NEW,FIX,1,1
877,YW,0,0,33,NEW,FIX,1,1
878,YX,0,0,49,NEW,FIX,1,1
879,Y0,0,0,32,NEW,FIX,1,1
880,Y1,0,0,14,NEW,FIX,1,1
881,Y2,0,0,17,NEW,FIX,1,1
882,Y3,0,0,NaN,EXTNEW,EXT,1,1
883,Y4,0,0,NaN,EXTNEW,EXT,1,1
884,Y5,0,0,NaN,EXTNEW,EXT,1,1
885,Y6,0,0,48,NEW,FIX,1,1
886,Y7,0,0,NaN,EXTNEW,EXT,1,1
887,Y8,0,0,NaN,EXTNEW,EXT,1,1
888,Y9,0,0,20,NEW,FIX,1,1
889,ZA,0,0,26,NEW,FIX,1,1
890,ZB,0,0,42,NEW,FIX,1,1
891,ZC,0,0,98,NEW,FIX,1,1
892,ZD,0,0,92,NEW,FIX,1,1
893,ZE,0,0,96,NEW,FIX,1,1
894,ZF,0,0,6,NEW,FIX,1,1
895,ZG,0,0,12,NEW,FIX,1,1
896,YZ,0,0,44,NEW,FIX,1,1
897,ZH,0,0,74,NEW,FIX,1,1
898,ZI,0,0,NaN,EXTNEW,EXT,1,1
899,ZJ,0,0,NaN,EXTNEW,EXT,1,1
900,ZK,0,0,35,NEW,FIX,1,1
901,ZL,0,0,49,NEW,FIX,1,1
902,ZM,0,0,NaN,EXTNEW,EXT,1,1
903,ZN,0,0,NaN,EXTNEW,EXT,1,1
904,ZO,0,0,NaN,EXTNEW,EXT,1,1
905,ZP,0,0,NaN,EXTNEW,EXT,1,1
906,ZQ,0,0,NaN,EXTNEW,EXT,1,1
907,ZR,0,0,98,NEW,FIX,1,1
908,ZS,0,0,58,NEW,FIX,1,1
909,ZT,0,0,88,NEW,FIX,1,1
910,ZU,0,0,74,NEW,FIX,1,1
911,ZV,0,0,96,NEW,FIX,1,1
912,ZW,0,0,24,NEW,FIX,1,1
913,ZX,0,0,64,NEW,FIX,1,1
914,ZY,0,0,60,NEW,FIX,1,1
915,ZZ,0,0,44,NEW,FIX,1,1
916,Z0,0,0,59,NEW,FIX,1,1
917,Z1,0,0,75,NEW,FIX,1,1
918,Z2,0,0,77,NEW,FIX,1,1
919,Z4,0,5,5,EXTNEW,EXT,0,1
920,Z5,0,0,NaN,EXTNEW,EXT,1,1
921,Z6,0,0,23,NEW,FIX,1,1
922,Z7,0,0,84,NEW,FIX,1,1
923,Z8,0,0,94,NEW,FIX,1,1
924,Z9,0,0,2,NEW,FIX,1,1
925,0A,0,12,12,FIXNEW,FIXNEW,0,1
926,0B,0,9,9,EXTNEW,EXT,0,1
927,0D,0,0,34,NEW,FIX,1,1
928,0E,0,0,71,NEW,FIX,1,1
929,0F,0,0,23,NEW,FIX,1,1
930,0G,0,0,77,NEW,FIX,1,1
931,0H,0,0,30,NEW,FIX,1,1
932,0I,0,0,60,NEW,FIX,1,1
933,0J,0,0,46,NEW,FIX,1,1
934,0K,0,0,63,NEW,FIX,1,1
935,0R,0,0,3,NEW,FIX,1,1
936,0P,0,0,22,NEW,FIX,1,1
937,0Q,0,0,6,NEW,FIX,1,1
938,0S,0,0,93,NEW,FIX,1,1
939,0M,0,0,2,NEW,FIX,1,1
940,0T,0,0,54,NEW,FIX,1,1
941,0L,0,0,52,NEW,FIX,1,1
942,0O,0,0,32,NEW,FIX,1,1
943,0N,0,0,17,NEW,FIX,1,1
944,0V,0,0,92,NEW,FIX,1,1
945,0W,0,0,56,NEW,FIX,1,1
946,0X,0,0,50,NEW,FIX,1,1
947,0U,0,0,55,NEW,FIX,1,1
948,WN,0,0,65,NEW,FIX,1,1
949,YY,0,0,57,NEW,FIX,1,1
950,0Y,0,0,27,NEW,FIX,1,1
951,0Z,0,0,44,NEW,FIX,1,1
952,00,0,0,34,NEW,FIX,1,1
953,01,0,0,32,NEW,FIX,1,1
954,02,0,0,72,NEW,FIX,1,1
955,03,0,0,55,NEW,FIX,1,1
956,04,0,0,62,NEW,FIX,1,1
957,05,0,1,1,FIXNEW,FIXNEW,0,1
958,06,0,2,2,FIXNEW,FIXNEW,0,1
959,07,0,0,74,NEW,FIX,1,1
960,08,0,0,78,NEW,FIX,1,1
961,09,0,0,18,NEW,FIX,1,1
962,1D,0,0,66,NEW,FIX,1,1
963,1E,0,0,64,NEW,FIX,1,1
964,1G,0,0,69,NEW,FIX,1,1
965,1F,0,0,21,NEW,FIX,1,1
966,1I,0,4,4,FIXNEW,FIXNEW,0,1
967,1J,0,0,9,NEW,FIX,1,1
968,1K,0,0,28,NEW,FIX,1,1
969,1L,0,0,97,NEW,FIX,1,1
970,1M,0,0,12,NEW,FIX,1,1
971,1N,0,0,89,NEW,FIX,1,1
972,1O,0,0,57,NEW,FIX,1,1
973,1P,0,0,99,NEW,FIX,1,1
974,1Q,0,35,35,FIXNEW,FIXNEW,0,1
975,1R,0,0,85,NEW,FIX,1,1
976,1S,0,0,48,NEW,FIX,1,1
977,1T,0,0,90,NEW,FIX,1,1
978,1V,0,0,95,NEW,FIX,1,1
979,1U,0,0,31,NEW,FIX,1,1
980,1X,0,0,42,NEW,FIX,1,1
981,1Y,0,0,3,NEW,FIX,1,1
982,1Z,0,0,6,NEW,FIX,1,1
993,2A,0,3,3,EXTNEW,EXT,0,1
994,2C,0,23,23,FIXNEW,FIXNEW,0,1
995,2B,0,42,42,EXTNEW,EXT,0,1
996,2E,0,47,47,EXTNEW,EXT,0,1
997,2F,0,35,35,EXTNEW,EXT,0,1
998,2D,0,95,95,FIXNEW,FIXNEW,0,1
999,2G,0,8,8,EXTNEW,EXT,0,1
1000,2H,0,14,14,FIXNEW,FIXNEW,0,1
1001,PC,6519,60,77,IN,FIX,1,1
1002,2I,0,0,63,NEW,FIX,1,1
1003,2K,0,0,31,NEW,FIX,1,1
1004,2J,0,0,36,NEW,FIX,1,1
1005,2L,0,0,64,NEW,FIX,1,1
1006,2M,0,0,94,NEW,FIX,1,1
1007,2O,0,0,93,NEW,FIX,1,1
1008,2P,0,0,83,NEW,FIX,1,1
1009,2Q,0,0,73,NEW,FIX,1,1
1010,2R,0,0,10,NEW,FIX,1,1
1011,2S,0,0,88,NEW,FIX,1,1
1012,2T,0,0,53,NEW,FIX,1,1
1013,2U,0,0,99,NEW,FIX,1,1
1014,2W,0,0,32,NEW,FIX,1,1
1015,2V,0,0,89,NEW,FIX,1,1
1016,2X,0,0,80,NEW,FIX,1,1
1017,2Y,0,12,12,FIXNEW,FIXNEW,0,1
1018,2Z,0,11,11,EXTNEW,EXT,0,1
1027,3A,0,0,85,NEW,FIX,1,1
1028,3B,0,0,74,NEW,FIX,1,1
1030,3C,0,0,31,NEW,FIX,1,1
1031,3D,0,0,99,NEW,FIX,1,1
1032,3E,0,0,39,NEW,FIX,1,1
1033,3F,0,0,67,NEW,FIX,1,1
1034,3G,0,0,5,NEW,FIX,1,1
1035,3H,0,0,92,NEW,FIX,1,1
1036,3I,0,0,95,NEW,FIX,1,1
1037,3J,0,0,56,NEW,FIX,1,1
1038,3K,0,0,34,NEW,FIX,1,1
1039,3L,0,0,95,NEW,FIX,1,1
1040,3M,0,0,22,NEW,FIX,1,1
1041,3N,0,0,72,NEW,FIX,1,1
1042,3O,0,0,77,NEW,FIX,1,1
1043,3P,0,0,52,NEW,FIX,1,1
1044,3Q,0,0,81,NEW,FIX,1,1
1045,3R,0,0,71,NEW,FIX,1,1
1046,3Z,0,0,1,NEW,FIX,1,1
1051,3T,0,0,90,NEW,FIX,1,1
1052,3S,0,0,76,NEW,FIX,1,1
1053,3V,0,0,35,NEW,FIX,1,1
1054,3X,0,0,82,NEW,FIX,1,1
1055,3Y,0,0,2,NEW,FIX,1,1
1056,3W,0,0,32,NEW,FIX,1,1
1062,4B,0,0,48,NEW,FIX,1,1
1063,4A,0,0,89,NEW,FIX,1,1
1064,4C,0,0,68,NEW,FIX,1,1
1065,4D,0,0,74,NEW,FIX,1,1
1066,4E,0,0,84,NEW,FIX,1,1
1067,4F,0,0,69,NEW,FIX,1,1
1068,4G,0,0,53,NEW,FIX,1,1
1069,4I,0,0,15,NEW,FIX,1,1
1070,4J,0,0,6,NEW,FIX,1,1
1071,3U,0,0,96,NEW,FIX,1,1
1072,4L,0,0,10,NEW,FIX,1,1
1073,4K,0,0,14,NEW,FIX,1,1
1074,4N,0,0,67,NEW,FIX,1,1
1075,4O,0,0,71,NEW,FIX,1,1
1076,4P,0,0,77,NEW,FIX,1,1
1077,4Q,0,0,70,NEW,FIX,1,1
1078,4R,0,0,84,NEW,FIX,1,1
1079,4S,0,0,89,NEW,FIX,1,1
1080,4T,0,0,82,NEW,FIX,1,1
1081,4X,0,0,15,NEW,FIX,1,1
1082,4Z,0,0,50,NEW,FIX,1,1
1083,4Y,0,0,5,NEW,FIX,1,1
1087,4V,0,0,54,NEW,FIX,1,1
1088,4U,0,0,86,NEW,FIX,1,1
1089,4W,0,0,14,NEW,FIX,1,1
1096,5A,0,0,49,NEW,FIX,1,1
1097,5B,0,0,64,NEW,FIX,1,1
1098,5C,0,0,74,NEW,FIX,1,1
1099,5F,0,0,25,NEW,FIX,1,1
1100,5G,0,0,93,NEW,FIX,1,1
1101,5H,0,0,2,NEW,FIX,1,1
1102,5I,0,0,45,NEW,FIX,1,1
1103,5J,0,0,40,NEW,FIX,1,1
1104,5M,0,0,54,NEW,FIX,1,1
1105,5N,0,0,98,NEW,FIX,1,1
1106,5O,0,0,73,NEW,FIX,1,1
1107,5P,0,0,39,NEW,FIX,1,1
1108,5Q,0,0,30,NEW,FIX,1,1
1109,5U,0,0,71,NEW,FIX,1,1
1110,5T,0,0,28,NEW,FIX,1,1
1111,5W,0,0,68,NEW,FIX,1,1
1112,5V,0,58,58,FIXNEW,FIXNEW,0,1
1113,5Z,0,56,56,EXTNEW,EXT,0,1
1114,5X,0,0,8,NEW,FIX,1,1
1115,5Y,0,0,24,NEW,FIX,1,1
1118,5S,0,0,48,NEW,FIX,1,1
1119,5R,0,0,75,NEW,FIX,1,1
1120,6M,0,93,93,EXTNEW,EXT,0,1
1122,6N,0,0,80,NEW,FIX,1,1
1129,1H,0,0,99,NEW,FIX,1,1
1131,6G,0,0,78,NEW,FIX,1,1
1132,6A,0,0,45,NEW,FIX,1,1
1133,6C,0,0,5,NEW,FIX,1,1
1134,6B,0,0,59,NEW,FIX,1,1
1135,6D,0,0,96,NEW,FIX,1,1
1136,6F,0,0,30,NEW,FIX,1,1
1137,6E,0,0,40,NEW,FIX,1,1
1138,1C,0,0,53,NEW,FIX,1,1
1139,6K,0,0,83,NEW,FIX,1,1
1140,6L,0,0,16,NEW,FIX,1,1
1141,6J,0,0,47,NEW,FIX,1,1
1142,6H,0,0,62,NEW,FIX,1,1
1143,6I,0,0,31,NEW,FIX,1,1
1144,4M,0,0,81,NEW,FIX,1,1
1145,6T,0,0,57,NEW,FIX,1,1
1146,6O,0,0,NaN,EXTNEW,EXT,1,1
1147,6P,0,0,85,NEW,FIX,1,1
1148,6Q,0,0,53,NEW,FIX,1,1
1149,6R,0,0,55,NEW,FIX,1,1
1150,6S,0,0,18,NEW,FIX,1,1
1151,Z3,0,0,4,NEW,FIX,1,1
1152,0C,0,0,18,NEW,FIX,1,1
1153,1A,0,0,86,NEW,FIX,1,1
1154,1W,0,0,64,NEW,FIX,1,1
1158,UX,0,0,16,NEW,FIX,1,1
1159,U6,0,0,81,NEW,FIX,1,1
1160,VJ,0,0,93,NEW,FIX,1,1
1161,4H,0,0,16,NEW,FIX,1,1
1162,VS,0,0,83,NEW,FIX,1,1
1163,5K,0,0,82,NEW,FIX,1,1
1164,5E,0,0,56,NEW,FIX,1,1
1165,5D,0,0,89,NEW,FIX,1,1
1166,5L,0,0,73,NEW,FIX,1,1
1167,YI,0,0,67,NEW,FIX,1,1
