FID,code,id,oldnr,newnr,oldstatus,newstatus,change,ok
87,CW,6058,22,95,IN,FIX,1,1
88,CZ,6061,59,67,IN,FIX,1,1
89,C0,6062,63,63,IN,FIX,0,1
90,CY,6060,16,22,IN,FIX,1,1
91,C2,6064,17,17,IN,FIX,0,1
92,C3,6065,20,20,IN,FIX,0,1
93,C6,6068,55,57,IN,FIX,1,1
94,C7,6069,56,74,IN,FIX,1,1
95,C8,6070,18,47,IN,FIX,1,1
96,C9,6071,19,44,IN,FIX,1,1
97,DA,6072,57,30,IN,FIX,1,1
98,DB,6073,67,48,IN,FIX,1,1
99,DC,6074,68,68,IN,FIX,0,1
100,DD,6075,71,61,IN,FIX,1,1
101,DE,6076,72,73,IN,FIX,1,1
102,DF,6077,96,67,IN,FIX,1,1
103,DG,6078,97,97,IN,FIX,0,1
104,DI,6080,99,99,IN,FIX,0,1
105,DH,6079,70,70,IN,FIX,0,1
106,DJ,6081,69,57,IN,FIX,1,1
107,DK,6082,26,26,IN,FIX,0,1
108,DL,6083,65,65,IN,FIX,0,1
109,DR,6089,3,3,IN,FIX,0,1
110,DS,6090,2,23,IN,FIX,1,1
111,DT,6091,1,27,IN,FIX,1,1
112,DO,6086,7,46,IN,FIX,1,1
113,DP,6087,6,49,IN,FIX,1,1
114,DQ,6088,5,5,IN,FIX,0,1
115,DN,6085,4,4,IN,FIX,0,1
116,DM,6084,63,36,IN,FIX,1,1
117,DV,6093,15,42,IN,FIX,1,1
118,DU,6092,8,12,IN,FIX,1,1
119,DX,6095,60,60,IN,FIX,0,1
120,DW,6094,14,6,IN,FIX,1,1
121,DZ,6097,62,21,IN,FIX,1,1
122,D0,6098,61,61,IN,FIX,0,1
123,D1,6099,9,18,IN,FIX,1,1
124,D2,6100,85,85,IN,FIX,0,1
125,D3,6101,1,71,IN,FIX,1,1
126,D8,6107,43,43,FIX,FIX,0,1
127,D7,6106,36,36,FIX,FIX,0,1
128,D6,6105,35,35,FIX,FIX,0,1
129,D5,6104,-33,97,FIX,FIX,1,1
130,D9,6108,86,-1,DEL,DEL,1,1
131,EC,6111,78,-1,DEL,DEL,1,1
132,EB,6110,82,63,IN,FIX,1,1
133,EA,6109,84,70,IN,FIX,1,1
134,FI,6156,4,4,FIX,FIX,0,1
135,FH,6155,-3,83,FIX,FIX,1,1
136,ED,6112,77,77,IN,FIX,0,1
137,EE,6113,76,-1,DEL,DEL,1,1
138,EF,6114,94,74,IN,FIX,1,1
139,EG,6115,91,95,IN,FIX,1,1
140,EH,6116,88,88,IN,FIX,0,1
141,EI,6117,8,8,IN,FIX,0,1
142,EN,6123,2,81,IN,FIX,1,1
143,EJ,6118,89,72,IN,FIX,1,1
144,EQ,6126,69,69,IN,FIX,0,1
145,ER,6128,71,71,IN,FIX,0,1
146,EW,6133,83,13,IN,FIX,1,1
147,EV,6132,84,83,IN,FIX,1,1
148,ET,6130,86,68,IN,FIX,1,1
149,EU,6131,85,85,IN,FIX,0,1
150,FE,6152,68,52,IN,FIX,1,1
151,EX,6134,70,24,IN,FIX,1,1
152,EY,6135,73,84,IN,FIX,1,1
153,E2,6139,72,72,IN,FIX,0,1
154,ES,6129,87,76,IN,FIX,1,1
155,E1,6138,89,89,IN,FIX,0,1
156,EZ,6136,81,81,IN,FIX,0,1
157,E0,6137,90,-1,DEL,DEL,1,1
158,FD,6151,67,16,IN,FIX,1,1
159,E5,6142,80,80,IN,FIX,0,1
160,E4,6141,76,38,IN,FIX,1,1
161,E3,6140,75,75,IN,FIX,0,1
162,FJ,6157,94,94,IN,FIX,0,1
163,FM,6160,91,33,IN,FIX,1,1
164,FN,6161,88,88,IN,FIX,0,1
165,FO,6162,99,59,IN,FIX,1,1
166,FQ,6164,-93,62,FIX,FIX,1,1
167,FR,6165,92,92,IN,FIX,0,1
168,FS,6166,90,90,IN,FIX,0,1
169,FT,6167,9,82,IN,FIX,1,1
170,FU,6168,20,6,IN,FIX,1,1
171,FV,6169,12,12,IN,FIX,0,1
172,FW,6170,13,89,IN,FIX,1,1
173,FX,6171,22,22,IN,FIX,0,1
174,FY,6172,11,11,IN,FIX,0,1
175,FZ,6173,10,-1,DEL,DEL,1,1
176,F0,6174,93,-1,DEL,DEL,1,1
177,F1,6175,21,21,IN,FIX,0,1
178,F2,6176,27,60,IN,FIX,1,1
179,F3,6177,26,47,IN,FIX,1,1
180,EL,6120,2,-1,DEL,DEL,1,1
181,EM,6121,68,68,FIX,FIX,0,1
182,EO,6124,-5,86,FIX,FIX,1,1
183,EP,6125,65,65,FIX,FIX,0,1
184,FG,6154,66,66,FIX,FIX,0,1
185,F4,6178,28,28,IN,FIX,0,1
186,F5,6179,29,29,IN,FIX,0,1
187,F6,6180,30,20,IN,FIX,1,1
188,GA,6184,31,31,IN,FIX,0,1
189,GB,6185,32,32,IN,FIX,0,1
190,GC,6186,35,35,IN,FIX,0,1
191,GD,6187,34,34,IN,FIX,0,1
192,GE,6188,25,25,IN,FIX,0,1
193,GG,6190,5,5,IN,FIX,0,1
194,GH,6191,14,14,IN,FIX,0,1
195,GJ,6193,19,75,IN,FIX,1,1
196,GK,6194,18,18,IN,FIX,0,1
197,GL,6195,16,16,IN,FIX,0,1
198,GI,6192,15,15,IN,FIX,0,1
199,GO,6198,23,23,IN,FIX,0,1
200,GQ,6200,36,36,IN,FIX,0,1
201,GP,6199,24,58,IN,FIX,1,1
202,GR,6201,53,38,IN,FIX,1,1
203,GS,6202,54,-1,DEL,DEL,1,1
204,GT,6203,55,-1,DEL,DEL,1,1
205,GU,6204,82,82,FIX,FIX,0,1
206,GV,6205,41,27,IN,FIX,1,1
207,GW,6206,42,42,IN,FIX,0,1
208,GX,6207,37,56,IN,FIX,1,1
209,GY,6208,40,40,IN,FIX,0,1
210,GZ,6209,44,44,IN,FIX,0,1
211,G2,6212,67,67,FIX,FIX,0,1
212,G3,6213,7,7,FIX,FIX,0,1
213,G4,6214,8,8,FIX,FIX,0,1
214,G5,6215,9,70,IN,FIX,1,1
215,G6,6216,12,12,FIX,FIX,0,1
216,G7,6217,81,81,FIX,FIX,0,1
217,G8,6218,10,10,FIX,FIX,0,1
218,G9,6219,-23,95,FIX,FIX,1,1
219,HA,6220,-22,89,FIX,FIX,1,1
220,HB,6221,-21,90,FIX,FIX,1,1
221,HC,6222,20,20,FIX,FIX,0,1
222,FF,6153,6,6,FIX,FIX,0,1
223,HM,6232,54,54,FIX,FIX,0,1
224,HL,6231,21,21,FIX,FIX,0,1
225,HK,6230,50,50,FIX,FIX,0,1
226,HD,6223,11,11,FIX,FIX,0,1
227,HE,6224,-13,2,FIX,FIX,1,1
228,HJ,6229,19,19,FIX,FIX,0,1
229,HH,6227,15,-1,DEL,DEL,1,1
