XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
372093,33760355;6568545,58031476;155;126;6395-6395;NIV;LY;#N/A
372148,66241235;6568765,67250829;156;126;6395-6395;NIV;LY;#N/A
344506,51485586;6563179,65150572;157;126;6427-6428;FIX;MU;MV
340189,50113875;6563102,81985676;158;126;6427-6430;DEL;MU;MX
343366,65418037;6565563,51268461;159;126;6375-6427;FIX;MU;LG
338076,77035003;6566080,92690156;160;126;6375-6376;DEL;LG;LH
349503,04091858;6578646,86919212;161;126;6355-6358;DEL;K0;KX
348383,67781955;6578151,70205695;162;126;6351-6355;FIX;KX;KT
346482,20223640;6579313,27100843;163;126;6347-6351;DEL;KT;KQ
343929,47098858;6577934,74599673;164;126;6347-6348;DEL;KR;KQ
342217,72791225;6576372,47136331;165;126;6348-6997;DEL;KR;SB
348713,40666911;6578422,17386702;166;126;-;NIV;#N/A;#N/A
347281,93358159;6578426,48143048;167;126;-;NIV;#N/A;#N/A
347562,69088928;6578406,64578601;168;126;-;NIV;#N/A;#N/A
363681,71168635;6558729,39614614;169;126;6436-6436;NIV;#N/A;M2
368532,80974687;6563613,59941524;170;126;6398-6400;DEL;L4;L2
362323,86799436;6573277,11023848;171;126;-;NIV;#N/A;#N/A
372290,45321689;6568588,27772655;172;126;6413-6413;NIV;#N/A;MF
369339,66051849;6564716,50924524;173;126;6414-6464;FIX;NV;MH
371307,17371712;6567272,57519107;174;126;6414-6414;NIV;MH;#N/A
372732,39847462;6565174,04292436;175;126;6414-6424;DEL;MH;MR
376527,16597723;6564677,44471612;176;126;6423-6424;FIX;MR;MQ
378071,21554474;6565275,25824240;177;126;6422-6423;FIX;MQ;MP
371281,25065783;6557462,27622747;178;126;6454-6477;DEL;N8;NL
344220,04389233;6567836,87793086;179;126;6374-6375;DEL;LG;LF
345362,38197684;6570297,11208345;180;126;6373-6374;FIX;LF;LE
345122,70333967;6572309,71951423;181;126;6357-6373;FIX;LE;KZ
346984,17555376;6573268,17473274;182;126;6356-6357;FIX;KZ;KY
349267,07142522;6574300,85644693;183;126;6352-6356;FIX;KY;KU
348009,84034501;6576043,31923860;184;126;6351-6352;DEL;KU;KT
344324,26490283;6568012,45183602;185;126;-;NIV;#N/A;#N/A
346951,77924570;6568792,32840035;186;126;6374-6383;FIX;LF;LN
348036,20501837;6571371,07752068;187;126;6356-6383;FIX;KY;LN
350222,68984702;6575271,16176385;188;126;6352-6353;DEL;KU;KV
351270,85285472;6576981,76502782;189;126;6353-6354;DEL;KV;KW
350291,18503048;6578015,53171369;190;126;6354-6355;DEL;KW;KX
364226,58499797;6577130,30696225;191;126;6363-6364;DEL;K6;K5
365446,92799391;6573878,08730739;192;126;6362-6363;FIX;K5;K4
370214,76018668;6559996,43543742;193;126;6465-6471;FIX;NW;N2
370408,10691443;6561013,30988288;194;126;6463-6471;FIX;NU;N2
368344,33975432;6566464,15453353;195;126;6396-6397;FIX;L0;L1
366743,21302441;6564974,30502823;196;126;6397-6401;DEL;L1;L5
366411,77529562;6562481,55906379;197;126;6399-6401;DEL;L5;L3
383386,08362357;6545324,27162198;198;126;6524-6540;DEL;PH;PX
384034,05578029;6546828,13472990;199;126;6524-6525;FIX;PI;PH
384612,11710040;6547699,24397522;200;126;6487-6525;DEL;OI;PI
384420,32412505;6551699,60671393;201;126;6488-6523;DEL;PG;OJ
381787,64882417;6555139,47726952;202;126;6522-6523;FIX;PF;PG
381457,10748946;6555766,00141702;203;126;6521-6522;FIX;PE;PF
379967,59036232;6557507,34746208;204;126;6474-6521;DEL;PE;N5
379277,56225863;6560545,10305654;205;126;6473-6474;DEL;N5;N4
382895,45690664;6547904,10612179;206;126;6525-6529;FIX;PI;PM
385835,79795251;6547880,99762356;207;126;6487-6487;NIV;#N/A;OI
364506,06230388;6550318,39774605;208;126;6504-6505;FIX;OZ;O0
362558,98110340;6547750,19399827;209;126;6505-6506;DEL;O0;O1
358510,26226328;6548645,94247776;210;126;6506-6507;DEL;O1;O2
354616,15558997;6550403,06803369;211;126;6500-6507;DEL;O2;OV
375361,40795389;6549378,70933642;212;126;6517-6518;FIX;PA;PB
345052,55883141;6574461,83050935;213;126;6348-6357;DEL;KR;KZ
347699,40342748;6578224,37567919;214;126;-;NIV;#N/A;#N/A
347713,19516148;6578278,68578517;215;126;-;NIV;#N/A;#N/A
379116,86742207;6552220,31852267;216;126;6523-6535;DEL;PS;PG
375025,58054845;6570542,13419498;217;126;6405-6407;DEL;MB;L9
376591,20943512;6573952,43365767;218;126;6405-6408;DEL;L9;MC
378431,03066943;6571814,84961621;219;126;6405-6406;FIX;MA;L9
378743,08786431;6572058,70304817;220;126;6406-6406;NIV;#N/A;M9
378845,09112263;6572077,77395547;221;126;6406-6406;NIV;#N/A;M9
371998,32969365;6561484,32030364;222;126;6471-6472;DEL;N2;N3
374214,08045266;6563155,48238415;223;126;6424-6472;FIX;N3;MR
374572,26863656;6560877,48906113;224;126;6472-6475;FIX;N3;N6
377151,58944759;6559110,78203295;225;126;6474-6475;DEL;N6;N5
374285,85107100;6558174,61631173;226;126;6475-6476;FIX;N6;N7
368443,60905532;6553936,73876792;227;126;6508-6509;DEL;O4;O3
360164,37135183;6555471,64853468;228;126;6468-6468;NIV;NZ;#N/A
387397,60887181;6558229,68526386;229;126;6481-6482;FIX;OC;OD
386302,43934359;6556115,68463786;230;126;6482-6483;FIX;OD;OE
387953,88763183;6555694,35509882;231;126;6482-6484;FIX;OF;OD
377848,20875460;6554357,70732512;232;126;6521-6521;NIV;#N/A;PE
342485,89895283;6554744,56540459;233;126;-;NIV;#N/A;#N/A
361575,62456122;6550511,10588504;234;126;6503-6506;FIX;OY;O1
363667,02931027;6574177,30748152;235;126;6363-6388;FIX;K5;LS
347032,60306509;6555014,44108011;236;126;6440-6441;FIX;M8;M7
350362,94319186;6559535,41906756;237;126;6433-6434;DEL;M0;M1
352119,21604879;6559949,38140928;238;126;-;NIV;#N/A;#N/A
350949,06293918;6569544,39057110;239;126;6381-6382;FIX;LM;LL
354816,62683649;6571666,20724065;240;126;6380-6381;DEL;LL;LK
357421,62884388;6572966,00492244;241;126;6380-6384;DEL;LK;LO
357957,01611452;6574178,90643312;242;126;6379-6384;FIX;LO;LJ
354844,17110904;6575675,96171844;243;126;6379-6379;NIV;LJ;#N/A
358808,56769818;6574075,47636679;244;126;6384-6384;NIV;LO;#N/A
357913,18128773;6573781,35258160;245;126;6384-6384;NIV;LN;#N/A
376737,26538082;6566248,44258570;246;126;6423-6426;FIX;MQ;MT
378268,96708106;6568141,80335012;247;126;6421-6426;FIX;MT;MO
367155,67324960;6567803,32259807;248;126;6397-6402;FIX;L1;L6
367511,62540733;6547589,41404668;249;126;6505-6520;DEL;O0;PD
359173,62530755;6552701,88011831;250;126;6499-6501;DEL;OU;OW
356834,10327071;6552576,78771672;251;126;6499-6502;DEL;OX;OU
359081,37581356;6553043,10143700;252;126;-;NIV;#N/A;#N/A
358853,93281493;6552472,72958535;253;126;-;NIV;#N/A;#N/A
382502,76534027;6575591,25339135;254;126;6409-6409;NIV;MD;#N/A
357433,93567154;6558469,25645233;255;126;6432-6435;FIX;MZ;M2
359109,73649017;6562708,85107130;256;126;6431-6435;DEL;MY;M2
358896,69676693;6565396,10862564;257;126;6390-6390;NIV;LT;#N/A
360260,83443978;6565457,37613660;258;126;6389-6390;DEL;LU;LT
361504,88181949;6567493,62684642;259;126;6386-6389;DEL;LT;LQ
363908,22712929;6564490,03240018;260;126;6389-6401;DEL;LT;L5
357805,30055860;6550280,67259096;261;126;6499-6507;FIX;O2;OU
370475,86368778;6556273,18240484;262;126;6455-6510;DEL;O5;NM
352552,51660533;6573804,43646249;263;126;6353-6381;FIX;LL;KV
357655,74332490;6568915,55698962;264;126;6380-6390;FIX;LK;LU
359331,70456398;6557911,49622577;265;126;6435-6438;FIX;M5;M2
376570,14981328;6582574,24402113;266;126;6339-6370;FIX;KJ;LB
351732,88943440;6577815,01421749;267;126;6354-6354;NIV;KV;#N/A
340534,06160092;6556508,51464873;268;126;6439-6528;FIX;M6;PL
364074,78700564;6558893,36359035;269;126;-;NIV;#N/A;#N/A
359564,66679708;6573886,63852470;270;126;-;NIV;#N/A;#N/A
379109,89069302;6571921,98819004;271;126;-;NIV;#N/A;#N/A
383673,58276196;6555688,85648314;272;126;6497-6522;FIX;PF;OS
383752,32670775;6569741,62268641;273;126;6417-6418;FIX;MK;ML
378287,90321789;6546447,79675920;274;126;6538-6543;FIX;P0;PV
377001,07541026;6547918,24967044;275;126;6516-6538;FIX;PV;O9
379126,21803123;6546602,66947201;276;126;6538-6539;FIX;PV;PW
340542,45689288;6570885,65745010;277;126;6372-6373;DEL;LE;LD
372782,40418700;6549270,59365127;278;126;6519-6519;NIV;PC;#N/A
380307,61278094;6567213,50803824;279;126;-;NIV;#N/A;#N/A
374404,13574276;6568795,97395094;280;126;6425-6426;FIX;MS;MT
349751,69748685;6556573,53800330;281;126;6443-6444;FIX;NA;NB
344670,16609391;6561946,79708074;282;126;6428-6428;NIV;MV;#N/A
341380,35888169;6602149,12709012;283;125;6100-6100;NIV;#N/A;D2
338173,95018852;6601777,44374773;284;125;6100-6103;DEL;D2;D4
374591,13167586;6641906,16828191;285;125;6067-6067;NIV;#N/A;C5
371712,93711860;6632407,38604323;286;125;6062-6063;FIX;C1;C0
370450,82347793;6632311,90578859;287;125;6062-6095;FIX;C0;DX
367189,24130590;6632563,46230689;288;125;6094-6095;DEL;DX;DW
365447,52464685;6632228,75759834;289;125;6093-6094;DEL;DW;DV
363692,28120873;6629996,92503083;290;125;6092-6093;FIX;DV;DU
361102,98885382;6627311,74790842;291;125;6089-6092;FIX;DU;DR
360317,19014319;6625155,70901131;292;125;6088-6089;DEL;DR;DQ
358697,74416883;6623287,70718013;293;125;6087-6088;FIX;DQ;DP
357816,04324886;6623896,64899788;294;125;6086-6087;FIX;DP;DO
357268,66008810;6625414,84033699;295;125;6085-6086;FIX;DO;DN
356385,79585539;6626432,65777395;296;125;6084-6085;FIX;DN;DM
354844,82565564;6626490,50592295;297;125;6083-6084;FIX;DM;DL
353531,44668222;6625541,42017768;298;125;6082-6083;FIX;DL;DK
354175,44610945;6623531,74883121;299;125;6081-6082;FIX;DK;DJ
354745,03355534;6621138,54223865;300;125;6079-6081;FIX;DJ;DH
355260,22450538;6619485,59915047;301;125;6079-6080;DEL;DH;DI
354780,20854484;6616704,22237065;302;125;6078-6080;FIX;DI;DG
354202,95135263;6615852,54877672;303;125;6077-6078;FIX;DG;DF
354056,48975497;6613537,20562935;304;125;6077-6114;DEL;DF;EF
351988,26617224;6612350,30587289;305;125;6113-6114;DEL;EF;EE
348316,68215744;6613973,64727924;306;125;6112-6113;DEL;EE;ED
345807,08781575;6615374,36725312;307;125;6017-6112;DEL;ED;BR
344511,47994868;6617467,22376434;308;125;6016-6017;FIX;BR;BQ
343831,80998600;6615248,95924350;309;125;6015-6016;DEL;BQ;BP
345155,23967979;6612250,63834669;310;125;6015-6111;DEL;BP;EC
346929,95894253;6609226,24186568;311;125;6110-6111;DEL;EC;EB
348256,79050827;6605241,60679095;312;125;6110-6116;FIX;EB;EH
350740,61407194;6603421,68567468;313;125;6116-6118;FIX;EH;EJ
351476,86634526;6603092,85180147;314;125;6118-6166;FIX;EJ;FS
352540,75450175;6601177,69025816;315;125;6166-6167;FIX;FS;FT
355788,07753703;6598873,54976928;316;125;6167-6168;FIX;FT;FU
357746,32640626;6601237,25946276;317;125;6168-6173;DEL;FU;FZ
360730,56268919;6604081,88825253;318;125;6172-6173;DEL;FZ;FY
363510,70036810;6603998,51184341;319;125;6171-6172;FIX;FY;FX
360666,17194267;6600674,96471308;320;125;6168-6171;FIX;FX;FU
357433,13171237;6597152,90657900;321;125;6168-6175;FIX;FU;F1
355069,59100965;6596046,56131198;322;125;6170-6175;FIX;F1;FW
351365,87313447;6595499,50528287;323;125;6170-6192;FIX;FW;GI
353450,75655760;6591891,13797041;324;125;6192-6193;FIX;GI;GJ
355589,50514155;6588515,25398136;325;125;6193-6194;FIX;GJ;GK
356762,47601321;6583708,84762373;326;125;6194-6203;DEL;GK;GT
359954,44720040;6582195,94226442;327;125;6202-6203;DEL;GT;GS
365550,97283371;6585364,62715061;328;125;6199-6201;FIX;GR;GP
363828,11808607;6587488,97546842;329;125;6199-6200;FIX;GP;GQ
366117,80750690;6590179,58101467;330;125;6200-6207;FIX;GQ;GX
369447,20139185;6592631,24830980;331;125;6206-6207;DEL;GX;GW
370016,70279014;6596848,59694664;332;125;6205-6206;FIX;GW;GV
368894,12684588;6599088,57266615;333;125;6187-6205;FIX;GV;GD
366152,72755838;6599261,38533926;334;125;6187-6188;FIX;GD;GE
364125,00910221;6600624,03074831;335;125;6171-6188;DEL;GE;FX
365035,01414437;6649565,91547104;336;125;-;NIV;#N/A;#N/A
376960,87527747;6649327,99113609;337;125;7153-7153;NIV;#N/A;SG
369466,45426624;6649047,95965828;338;125;5994-5995;FIX;A6;A7
368619,93426048;6646667,83561530;339;125;5995-5996;FIX;A7;A8
366340,25330430;6645486,20203733;340;125;5991-5996;FIX;A8;A3
363906,00143440;6645833,76964284;341;125;5990-5991;FIX;A3;A2
362575,75621927;6647323,97970741;342;125;5990-5993;FIX;A2;A5
360807,15265953;6648513,18102205;343;125;5988-5993;FIX;A5;A0
356044,89101457;6646563,27022285;344;125;5985-5988;FIX;A0;AX
353019,12556802;6642566,24257662;345;125;5984-5985;DEL;AX;AW
353510,45702310;6639264,66511927;346;125;5983-5984;FIX;AW;AV
351312,03913526;6640922,85192694;347;125;5982-5983;FIX;AV;AU
349638,74954806;6641194,94287045;348;125;5981-5982;FIX;AU;AT
348480,98112444;6639504,88325775;349;125;5980-5981;FIX;AT;AS
348006,84251275;6641764,55272729;350;125;5980-5987;FIX;AS;AZ
348813,33392390;6643432,17529024;351;125;5986-5987;FIX;AZ;AY
350413,37671683;6644361,00558438;352;125;5985-5986;FIX;AY;AX
375649,81552463;6610231,95505216;353;125;6164-6164;NIV;#N/A;FQ
375377,34182178;6610431,59234684;354;125;6163-6164;FIX;FQ;FP
373296,59052716;6610723,52938158;355;125;6162-6163;DEL;FP;FO
371315,95085083;6611708,94935787;356;125;6161-6162;FIX;FO;FN
370950,92743472;6612388,79800893;357;125;6160-6161;FIX;FN;FM
368364,34330148;6613401,60600082;358;125;6138-6160;FIX;FM;E1
369197,68757080;6615556,65947988;359;125;6137-6138;DEL;E1;E0
371204,35475825;6617883,20407033;360;125;6136-6137;DEL;E0;EZ
369744,70104832;6620497,14811850;361;125;6136-6142;DEL;EZ;E5
371974,61964977;6620641,27175688;362;125;6142-6143;FIX;E5;E6
373792,87581853;6622048,08947910;363;125;6143-6144;DEL;E6;E7
371203,30363707;6624336,40196280;364;125;6141-6145;FIX;E8;E4
367230,15022077;6623993,50082717;365;125;6140-6141;FIX;E4;E3
364782,34287299;6623020,23090971;366;125;6134-6140;DEL;E3;EX
363806,22399479;6621450,71577200;367;125;6134-6135;FIX;EX;EY
364311,51228550;6620496,12476259;368;125;6135-6139;FIX;EY;E2
366089,47587902;6617285,15597798;369;125;6138-6139;DEL;E2;E1
367184,94192049;6607767,31106374;370;125;6178-6178;NIV;#N/A;F4
367671,46637130;6606236,70647470;371;125;6178-6185;FIX;F4;GB
368592,51940121;6604661,54042726;372;125;6184-6185;DEL;GB;GA
370389,58210158;6605226,56282654;373;125;6183-6184;FIX;GA;F9
371241,30132701;6608140,20718144;374;125;6180-6181;FIX;F7;F6
369294,11309328;6607887,01587540;375;125;6179-6180;FIX;F6;F5
369263,34570544;6606111,95399518;376;125;6179-6184;FIX;F5;GA
370750,70033991;6603095,44794950;377;125;6184-6186;DEL;GA;GC
369096,58653625;6600958,44778299;378;125;6186-6187;DEL;GC;GD
377372,28034727;6600656,08141501;379;125;6211-6211;NIV;#N/A;G1
329223,02638585;6624539,58582272;380;125;5963-5963;NIV;#N/A;AE
328199,51765785;6622667,52769870;381;125;5960-5963;FIX;AE;AB
327136,38228644;6620264,48932771;382;125;5960-5961;FIX;AB;AC
328488,33634704;6617172,98771034;383;125;5961-6005;DEL;AC;BF
330601,84839779;6614234,80939132;384;125;6005-6006;DEL;BF;BG
334834,25598572;6615211,90349908;385;125;6006-6022;DEL;BG;BW
337186,69219115;6617748,16457735;386;125;6021-6022;DEL;BW;BV
336336,88246780;6619841,46090780;387;125;6021-6026;DEL;BV;B0
334049,26763964;6620886,06363791;388;125;6025-6026;FIX;B0;BZ
334299,15804293;6623128,44218607;389;125;6023-6025;FIX;BZ;BX
334294,23004093;6625325,51352501;390;125;6023-6031;FIX;BX;B5
334094,46079057;6625617,92769212;391;125;6030-6031;FIX;B5;B4
