XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
358755,34648500;6581493,79165173;0;126;6360-6360;NIV;#N/A;K1
358949,72989854;6580008,59156359;1;126;6360-6365;FIX;K2;K7
363491,69152002;6582413,08158932;2;126;6342-6365;DEL;K7;KM
368987,44737068;6579732,25881840;3;126;6342-6361;DEL;KM;K3
371345,75631815;6576901,52573493;4;126;6361-6403;FIX;K3;L7
370962,53233995;6573172,19158955;5;126;6403-6407;DEL;L7;MB
371202,62825360;6567565,74968484;6;126;6398-6407;DEL;MB;L2
368965,56757705;6565710,07741898;7;126;6396-6398;FIX;L2;L0
370123,01764635;6567324,63810762;8;126;6394-6396;DEL;L0;LY
371723,77762835;6568781,56796376;9;126;6394-6395;DEL;LY;LZ
372218,66833990;6568637,23940860;10;126;6395-6413;FIX;LZ;MG
372481,12324877;6569058,63599534;11;126;6413-6425;FIX;MG;MS
375841,04513265;6570611,08472916;12;126;6415-6425;FIX;MS;MI
380768,05166506;6573716,29205972;13;126;6411-6415;DEL;MI;MF
381164,83739226;6581960,03608627;14;126;6367-6368;DEL;LA;K9
380727,27964168;6585430,53238706;15;126;6366-6366;NIV;K7;#N/A
389668,26157736;6560087,54572880;16;126;6480-6480;NIV;#N/A;OB
389812,24120728;6557712,83381077;17;126;6480-6484;FIX;OB;OF
390485,17712481;6554032,99727890;18;126;6484-6485;DEL;OF;OG
390791,98049376;6552032,21069245;19;126;6485-6486;FIX;OG;OH
390041,87616077;6551907,73586158;20;126;6486-6486;NIV;OH;#N/A
373587,27430183;6538170,61100721;21;126;6542-6542;NIV;#N/A;PZ
373854,41609053;6540181,56282684;22;126;6536-6542;FIX;PZ;PT
370927,05142969;6544435,69050879;23;126;6520-6536;FIX;PT;PD
371103,02176885;6548604,58461202;24;126;6519-6520;FIX;PD;PC
369042,67847814;6551108,52338486;25;126;6508-6519;FIX;PC;O3
365327,20886699;6552165,64042906;26;126;6504-6508;FIX;O3;OZ
363624,16800889;6551476,87788652;27;126;6503-6504;FIX;OZ;OY
361980,06927174;6553154,87638692;28;126;6501-6503;DEL;OY;OW
360506,34835153;6554397,12043928;29;126;6468-6501;FIX;OW;NZ
362565,00511688;6556504,11586832;30;126;6456-6468;DEL;NZ;NN
366868,05119156;6557330,67047856;31;126;6455-6456;DEL;NN;NM
369329,49998138;6557322,95470738;32;126;6453-6455;DEL;NM;NK
366286,88101463;6558158,69434666;33;126;6452-6453;DEL;NK;NJ
364495,60881175;6557698,13935964;34;126;6452-6456;DEL;NJ;NN
372639,09538261;6556465,57864275;35;126;6477-6477;NIV;#N/A;N8
372323,47243563;6556990,19368917;36;126;6476-6477;DEL;N8;N7
371171,63213363;6558331,17561473;37;126;6466-6476;FIX;N7;NX
369959,77669411;6558265,03531574;38;126;6454-6466;DEL;NX;NL
369923,37012148;6557612,71594991;39;126;6454-6454;NIV;NL;#N/A
374146,38166132;6553694,65195102;40;126;6515-6515;NIV;#N/A;O8
375794,85235077;6550023,76822520;41;126;6515-6516;FIX;O8;O9
376452,25126225;6549334,33498306;42;126;6516-6534;FIX;O9;PR
376282,37112605;6550039,43326494;43;126;6534-6535;FIX;PR;PS
375561,25582780;6551062,07499889;44;126;6513-6535;FIX;PS;O6
374727,46345982;6552031,04919049;45;126;6513-6514;FIX;O6;O7
373223,94433883;6554165,72178873;46;126;6510-6514;DEL;O7;O5
371080,47509254;6554932,45754810;47;126;6509-6510;FIX;O5;O4
372590,11498138;6551970,35405958;48;126;6509-6518;FIX;O4;PB
374657,91927908;6549852,31748305;49;126;6518-6518;NIV;PB;#N/A
371863,24039300;6581536,93237479;50;126;6341-6341;NIV;#N/A;KL
369957,06361033;6581989,06800920;51;126;6341-6342;FIX;KL;KM
373229,73470337;6582951,85527175;52;126;6340-6340;NIV;#N/A;KK
374657,84593008;6584100,85838339;53;126;6339-6340;FIX;KK;KJ
375984,76205588;6584588,85262766;54;126;6338-6339;FIX;KJ;KI
383417,14432338;6576913,04372075;55;126;6411-6411;NIV;#N/A;ME
382640,47664036;6576388,03156528;56;126;6410-6411;FIX;MF;ME
379425,72592094;6575786,35440782;57;126;6408-6410;DEL;ME;MC
376163,43026994;6577403,48211919;58;126;6404-6408;FIX;MC;L8
374998,08785392;6578290,49484383;59;126;6371-6404;FIX;L8;LC
376935,48578401;6579760,63334073;60;126;6370-6371;DEL;LC;LB
379493,64056897;6581288,53948151;61;126;6368-6370;DEL;LB;LA
387492,22181122;6549316,13049845;62;126;6489-6489;NIV;#N/A;OK
387161,51366475;6553198,02755702;63;126;6483-6489;DEL;OK;OE
385672,86140683;6555912,02782932;64;126;6483-6497;FIX;OE;OS
383420,58808563;6558780,68695339;65;126;6497-6498;FIX;OS;OT
380884,13431769;6561814,18747600;66;126;6473-6498;FIX;OT;N4
378895,98117596;6563465,19061411;67;126;6422-6473;FIX;N4;MP
379072,88674087;6566432,44199795;68;126;6420-6422;FIX;MP;MN
380350,80120579;6567219,94408759;69;126;6419-6420;FIX;MN;MM
382582,42338222;6567972,98233734;70;126;6418-6419;DEL;MM;ML
385500,34772254;6566652,70065248;71;126;6418-7192;DEL;ML;TJ
382510,56843336;6582333,91557113;72;126;6367-6367;NIV;#N/A;K8
352037,42560230;6577957,55932146;73;126;6359-6359;NIV;#N/A;K0
351756,23763168;6579392,86752124;74;126;6358-6359;FIX;K1;K0
348981,97080762;6583490,56629099;75;126;6196-6358;DEL;K0;GM
358665,13550182;6554832,03903441;76;126;6451-6451;NIV;#N/A;NI
359899,05899735;6556197,10046759;77;126;6437-6451;FIX;NI;M4
361711,88494065;6557686,19888327;78;126;6436-6437;DEL;M4;M3
365029,27201976;6559872,82755385;79;126;6399-6436;FIX;M3;L3
366970,84252399;6561575,03833384;80;126;6399-6400;DEL;L3;L4
367798,14384261;6562283,41799947;81;126;6400-6464;DEL;L4;NV
369015,49188103;6562121,78164319;82;126;6463-6464;FIX;NV;NU
368972,32240967;6560263,04100593;83;126;6463-6465;FIX;NU;NW
369469,58052028;6559324,29937957;84;126;6465-6466;FIX;NW;NX
354190,40070108;6554323,92929003;85;126;6445-6445;NIV;#N/A;NC
351991,16576669;6557011,00637627;86;126;6444-6445;FIX;NC;NB
352651,53796930;6558263,96590952;87;126;6433-6444;FIX;NB;M0
354108,26845764;6559578,99751528;88;126;6432-6433;FIX;M0;MZ
356471,41092928;6561038,70313259;89;126;6431-6432;DEL;MZ;MY
351995,93775566;6565228,54528877;90;126;6382-6431;DEL;MY;LM
348102,90646641;6568619,26394646;91;126;6382-6383;FIX;LM;LN
347814,26143855;6563957,44730957;92;126;6383-6434;DEL;LN;M1
347769,77939594;6558035,94957182;93;126;6434-6443;FIX;M1;NA
347464,06791837;6556566,79404443;94;126;6441-6443;FIX;NA;M8
346067,01454539;6557740,42508186;95;126;6441-6442;DEL;M8;M9
345252,40776663;6560737,89532725;96;126;6428-6442;FIX;M9;MV
342665,92944990;6560640,59185245;97;126;6428-6429;FIX;MV;MW
355053,33121078;6553042,24068774;98;126;6502-6502;NIV;#N/A;OX
353839,14363175;6552565,94905722;99;126;6500-6502;FIX;OX;OV
349700,60838585;6551713,40586745;100;126;6447-6500;DEL;OV;NE
345532,54079311;6550383,06878841;101;126;6447-6448;DEL;NE;NF
341124,30630619;6548959,31330607;102;126;6448-6449;DEL;NF;NG
374413,48716413;6542702,42456262;103;126;6536-6537;FIX;PU;PT
377162,08726570;6544728,95787759;104;126;6537-6543;FIX;PU;P0
379223,46147240;6544883,12504560;105;126;6541-6543;FIX;P0;PY
380854,40616258;6543662,30263771;106;126;6540-6541;FIX;PY;PX
381386,57389415;6545701,77157347;107;126;6539-6540;FIX;PX;PW
381485,05177199;6547760,15771446;108;126;6529-6539;FIX;PW;PM
379197,03237687;6548854,18601816;109;126;6529-6534;FIX;PM;PR
363604,98935480;6558316,60075963;110;126;6452-6452;NIV;#N/A;NJ
370096,59648239;6571638,99323570;111;126;6393-6393;NIV;#N/A;LW
367880,60021369;6572127,13065709;112;126;6392-6393;FIX;LX;LW
366663,10354873;6570880,23179697;113;126;6392-6402;FIX;LW;L6
364247,99979227;6569019,08708740;114;126;6386-6402;DEL;L6;LQ
362191,82734703;6571521,42418897;115;126;6386-6388;DEL;LQ;LS
361142,76516175;6574469,95181569;116;126;6385-6388;DEL;LS;LP
360445,59250172;6575943,04537319;117;126;6364-6385;DEL;LP;K6
359697,81297840;6577652,95191043;118;126;6364-6365;DEL;K6;K7
362269,22181156;6573286,61727630;119;126;6387-6387;NIV;LQ;#N/A
364212,01853741;6572922,13304918;120;126;6387-6391;DEL;LR;LV
368373,95397112;6575242,16472559;121;126;6361-6362;FIX;K4;K3
369698,78673474;6557693,67443469;122;126;6453-6453;NIV;#N/A;NK
380201,15037113;6572209,41834862;123;126;6415-6416;FIX;MI;MJ
381749,16159459;6571721,61348051;124;126;6416-6417;FIX;MJ;MK
381548,38559024;6570020,37632479;125;126;6417-6421;FIX;MK;MO
380502,96468492;6567977,62135708;126;126;6419-6421;FIX;MO;MM
382683,53978210;6575871,79706033;127;126;6409-6409;NIV;MD;#N/A
382354,95216336;6576102,58953756;128;126;6409-6410;FIX;MD;ME
374569,36590680;6552603,87191671;129;126;6514-6514;NIV;#N/A;O7
355709,68713662;6579017,17638695;130;126;6359-6360;FIX;K2;K1
372604,22791812;6579427,61463411;131;126;6341-6371;FIX;KL;LC
359808,41028480;6555863,40078156;132;126;6451-6451;NIV;#N/A;NI
347116,66617497;6551920,95230418;133;126;6446-6447;FIX;ND;NE
349491,57243451;6554072,74980800;134;126;6445-6446;FIX;ND;NC
355446,57155098;6556949,12290307;135;126;6438-6445;FIX;NC;M5
359406,71138286;6556979,68541471;136;126;6437-6438;DEL;M5;M4
354922,96706973;6553346,96161619;137;126;6450-6450;NIV;#N/A;NH
354950,11228398;6553163,56796523;138;126;6450-6450;NIV;#N/A;NH
354954,99334260;6553022,24828068;139;126;-;NIV;#N/A;#N/A
354955,48108702;6553191,38767651;140;126;6450-6450;NIV;#N/A;NH
344185,85704976;6554388,20823126;141;126;6439-6440;DEL;M7;M6
342194,50582974;6552117,01295403;142;126;6439-6448;DEL;M6;NF
365968,16681573;6572556,81583857;143;126;6391-6392;FIX;LW;LV
375986,49653895;6548773,99520015;144;126;6516-6517;FIX;O9;PA
374991,74151683;6546433,34305321;145;126;6517-6537;FIX;PA;PU
373903,30164203;6576576,88737583;146;126;6403-6404;FIX;L7;L8
384063,68295506;6562416,78073608;147;126;6478-6479;FIX;OA;N9
381251,19806705;6565118,07285966;148;126;6420-6479;FIX;MN;OA
381804,05904741;6562477,87536625;149;126;6479-6498;FIX;OA;OT
346600,95902256;6559368,28505607;150;126;6434-6442;FIX;M1;M9
375231,42427643;6551313,14487377;151;126;6513-6515;FIX;O6;O8
369851,91870771;6570483,91333965;152;126;6394-6394;NIV;#N/A;LX
346862,50674383;6552300,92688335;153;126;-;NIV;#N/A;#N/A
369651,94313627;6571630,47810668;154;126;6393-6393;NIV;#N/A;LW
