XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
381749,16159459;6571721,61348051;61;126;6416-6417;FIX;MJ;MK
381548,38559024;6570020,37632479;62;126;6417-6421;FIX;MK;MO
380502,96468492;6567977,62135708;63;126;6419-6421;FIX;MO;MM
382354,95216336;6576102,58953756;64;126;6409-6410;FIX;MD;ME
355709,68713662;6579017,17638695;65;126;6359-6360;FIX;K2;K1
372604,22791812;6579427,61463411;66;126;6341-6371;FIX;KL;LC
347116,66617497;6551920,95230418;67;126;6446-6447;FIX;ND;NE
349491,57243451;6554072,74980800;68;126;6445-6446;FIX;ND;NC
355446,57155098;6556949,12290307;69;126;6438-6445;FIX;NC;M5
365968,16681573;6572556,81583857;70;126;6391-6392;FIX;LW;LV
375986,49653895;6548773,99520015;71;126;6516-6517;FIX;O9;PA
374991,74151683;6546433,34305321;72;126;6517-6537;FIX;PA;PU
373903,30164203;6576576,88737583;73;126;6403-6404;FIX;L7;L8
384063,68295506;6562416,78073608;74;126;6478-6479;FIX;OA;N9
381251,19806705;6565118,07285966;75;126;6420-6479;FIX;MN;OA
381804,05904741;6562477,87536625;76;126;6479-6498;FIX;OA;OT
346600,95902256;6559368,28505607;77;126;6434-6442;FIX;M1;M9
375231,42427643;6551313,14487377;78;126;6513-6515;FIX;O6;O8
344506,51485586;6563179,65150572;79;126;6427-6428;FIX;MU;MV
343366,65418037;6565563,51268461;80;126;6375-6427;FIX;MU;LG
348383,67781955;6578151,70205695;81;126;6351-6355;FIX;KX;KT
369339,66051849;6564716,50924524;82;126;6414-6464;FIX;NV;MH
376527,16597723;6564677,44471612;83;126;6423-6424;FIX;MR;MQ
378071,21554474;6565275,25824240;84;126;6422-6423;FIX;MQ;MP
345362,38197684;6570297,11208345;85;126;6373-6374;FIX;LF;LE
345122,70333967;6572309,71951423;86;126;6357-6373;FIX;LE;KZ
346984,17555376;6573268,17473274;87;126;6356-6357;FIX;KZ;KY
349267,07142522;6574300,85644693;88;126;6352-6356;FIX;KY;KU
346951,77924570;6568792,32840035;89;126;6374-6383;FIX;LF;LN
348036,20501837;6571371,07752068;90;126;6356-6383;FIX;KY;LN
365446,92799391;6573878,08730739;91;126;6362-6363;FIX;K5;K4
370214,76018668;6559996,43543742;92;126;6465-6471;FIX;NW;N2
370408,10691443;6561013,30988288;93;126;6463-6471;FIX;NU;N2
368344,33975432;6566464,15453353;94;126;6396-6397;FIX;L0;L1
384034,05578029;6546828,13472990;95;126;6524-6525;FIX;PI;PH
381787,64882417;6555139,47726952;96;126;6522-6523;FIX;PF;PG
381457,10748946;6555766,00141702;97;126;6521-6522;FIX;PE;PF
382895,45690664;6547904,10612179;98;126;6525-6529;FIX;PI;PM
364506,06230388;6550318,39774605;99;126;6504-6505;FIX;OZ;O0
375361,40795389;6549378,70933642;100;126;6517-6518;FIX;PA;PB
378431,03066943;6571814,84961621;101;126;6405-6406;FIX;MA;L9
374214,08045266;6563155,48238415;102;126;6424-6472;FIX;N3;MR
374572,26863656;6560877,48906113;103;126;6472-6475;FIX;N3;N6
374285,85107100;6558174,61631173;104;126;6475-6476;FIX;N6;N7
387397,60887181;6558229,68526386;105;126;6481-6482;FIX;OC;OD
386302,43934359;6556115,68463786;106;126;6482-6483;FIX;OD;OE
387953,88763183;6555694,35509882;107;126;6482-6484;FIX;OF;OD
361575,62456122;6550511,10588504;108;126;6503-6506;FIX;OY;O1
363667,02931027;6574177,30748152;109;126;6363-6388;FIX;K5;LS
347032,60306509;6555014,44108011;110;126;6440-6441;FIX;M8;M7
350949,06293918;6569544,39057110;111;126;6381-6382;FIX;LM;LL
357957,01611452;6574178,90643312;112;126;6379-6384;FIX;LO;LJ
376737,26538082;6566248,44258570;113;126;6423-6426;FIX;MQ;MT
378268,96708106;6568141,80335012;114;126;6421-6426;FIX;MT;MO
367155,67324960;6567803,32259807;115;126;6397-6402;FIX;L1;L6
357433,93567154;6558469,25645233;116;126;6432-6435;FIX;MZ;M2
357805,30055860;6550280,67259096;117;126;6499-6507;FIX;O2;OU
352552,51660533;6573804,43646249;118;126;6353-6381;FIX;LL;KV
357655,74332490;6568915,55698962;119;126;6380-6390;FIX;LK;LU
359331,70456398;6557911,49622577;120;126;6435-6438;FIX;M5;M2
376570,14981328;6582574,24402113;121;126;6339-6370;FIX;KJ;LB
340632,44972330;6556407,84293971;122;126;6439-6528;FIX;M6;PL
383673,58276196;6555688,85648314;123;126;6497-6522;FIX;PF;OS
383752,32670775;6569741,62268641;124;126;6417-6418;FIX;MK;ML
378287,90321789;6546447,79675920;125;126;6538-6543;FIX;P0;PV
377001,07541026;6547918,24967044;126;126;6516-6538;FIX;PV;O9
379126,21803123;6546602,66947201;127;126;6538-6539;FIX;PV;PW
374404,13574276;6568795,97395094;128;126;6425-6426;FIX;MS;MT
349751,69748685;6556573,53800330;129;126;6443-6444;FIX;NA;NB
371712,93711860;6632407,38604323;130;125;6062-6063;FIX;C1;C0
370450,82347793;6632311,90578859;131;125;6062-6095;FIX;C0;DX
363692,28120873;6629996,92503083;132;125;6092-6093;FIX;DV;DU
361102,98885382;6627311,74790842;133;125;6089-6092;FIX;DU;DR
358697,74416883;6623287,70718013;134;125;6087-6088;FIX;DQ;DP
357816,04324886;6623896,64899788;135;125;6086-6087;FIX;DP;DO
357268,66008810;6625414,84033699;136;125;6085-6086;FIX;DO;DN
356385,79585539;6626432,65777395;137;125;6084-6085;FIX;DN;DM
354844,82565564;6626490,50592295;138;125;6083-6084;FIX;DM;DL
353531,44668222;6625541,42017768;139;125;6082-6083;FIX;DL;DK
354175,44610945;6623531,74883121;140;125;6081-6082;FIX;DK;DJ
354745,03355534;6621138,54223865;141;125;6079-6081;FIX;DJ;DH
354780,20854484;6616704,22237065;142;125;6078-6080;FIX;DI;DG
354202,95135263;6615852,54877672;143;125;6077-6078;FIX;DG;DF
344511,47994868;6617467,22376434;144;125;6016-6017;FIX;BR;BQ
348256,79050827;6605241,60679095;145;125;6110-6116;FIX;EB;EH
350740,61407194;6603421,68567468;146;125;6116-6118;FIX;EH;EJ
351476,86634526;6603092,85180147;147;125;6118-6166;FIX;EJ;FS
352540,75450175;6601177,69025816;148;125;6166-6167;FIX;FS;FT
355788,07753703;6598873,54976928;149;125;6167-6168;FIX;FT;FU
363510,70036810;6603998,51184341;150;125;6171-6172;FIX;FY;FX
360666,17194267;6600674,96471308;151;125;6168-6171;FIX;FX;FU
