XCoord;YCoord;FID;KNOOPID;VOLGNR;NETWERKID;CODE;STATUS;LON_X;LAT_Y
361667,17470203;6633064,65685699;78;6057;11;125;CV;IN;3,248912;51,254361
364226,98064525;6638275,09944810;79;6059;41;125;CX;IN;3,271907;51,283724
365236,44109634;6637097,54934186;80;6058;22;125;CW;IN;3,280975;51,277090
369695,37574797;6633487,33536942;81;6061;59;125;CZ;IN;3,321030;51,256744
371667,04957464;6632434,21956221;82;6062;63;125;C0;IN;3,338742;51,250808
366938,61735791;6634950,20101978;83;6060;16;125;CY;IN;3,296266;51,264989
367071,35797979;6635323,31895128;84;6064;17;125;C2;IN;3,297458;51,267092
365855,88399696;6636538,67918169;85;6065;20;125;C3;IN;3,286539;51,273941
371447,25368022;6639671,23282676;86;6068;55;125;C6;IN;3,336767;51,291588
371129,02372730;6639451,59114217;87;6069;56;125;C7;IN;3,333909;51,290351
367798,96348776;6636308,72099498;88;6070;18;125;C8;IN;3,303994;51,272645
367589,69800149;6636993,22797079;89;6071;19;125;C9;IN;3,302114;51,276502
347941,86461273;6624920,36073862;90;6072;57;125;DA;IN;3,125615;51,208428
349349,81480305;6623727,78319450;91;6073;67;125;DB;IN;3,138263;51,201699
349797,30382968;6621462,08439978;92;6074;68;125;DC;IN;3,142283;51,188910
351733,57741610;6618220,86529835;93;6075;71;125;DD;IN;3,159676;51,170609
351547,71703827;6618020,74967013;94;6076;72;125;DE;IN;3,158007;51,169479
353615,53223931;6615770,97381209;95;6077;96;125;DF;IN;3,176582;51,156772
354779,23017041;6615907,60587485;96;6078;97;125;DG;IN;3,187036;51,157544
354950,48734205;6617518,84074502;97;6080;99;125;DI;IN;3,188574;51,166645
354501,73793979;6620853,13429837;98;6079;70;125;DH;IN;3,184543;51,185472
354976,11455031;6621433,02744597;99;6081;69;125;DJ;IN;3,188805;51,188746
353156,77302334;6625044,06683376;100;6082;26;125;DK;IN;3,172461;51,209126
353363,44834888;6626377,40408587;101;6083;65;125;DL;IN;3,174318;51,216649
359958,11984798;6627107,73210970;102;6089;3;125;DR;IN;3,233559;51,220770
359880,38013135;6627186,02992292;103;6090;2;125;DS;IN;3,232860;51,221211
358625,14655505;6627269,65985816;104;6091;1;125;DT;IN;3,221585;51,221683
357679,69492415;6624279,25653141;105;6086;7;125;DO;IN;3,213091;51,204811
357948,55751384;6623512,75441054;106;6087;6;125;DP;IN;3,215507;51,200485
359493,75069475;6623391,10047982;107;6088;5;125;DQ;IN;3,229387;51,199798
356485,50073788;6626446,07308059;108;6085;4;125;DN;IN;3,202364;51,217037
356285,48275584;6626424,44883142;109;6084;63;125;DM;IN;3,200567;51,216915
365597,40878719;6631798,33069521;110;6093;15;125;DV;IN;3,284217;51,247223
362299,01392431;6627574,89031430;111;6092;8;125;DU;IN;3,254587;51,223405
369504,23390423;6632583,65336548;112;6095;60;125;DX;IN;3,319313;51,251650
365206,47940407;6632629,47132983;113;6094;14;125;DW;IN;3,280706;51,251908
369737,29541993;6630570,26579851;114;6097;62;125;DZ;IN;3,321407;51,240298
367635,10340726;6629526,99521400;115;6098;61;125;D0;IN;3,302522;51,234415
363062,54251620;6626689,16073657;116;6099;9;125;D1;IN;3,261446;51,218408
340872,54822181;6601795,20643991;117;6100;85;125;D2;IN;3,062110;51,077753
340690,92964478;6600424,69878014;118;6101;1;125;D3;IN;3,060479;51,069997
338576,12506546;6592690,74208633;119;6107;43;127;D8;FIX;3,041481;51,026204
337404,29289720;6594820,33216831;120;6106;36;127;D7;FIX;3,030954;51,038267
337155,90495559;6595119,82130175;121;6105;35;127;D6;FIX;3,028723;51,039963
335023,01130208;6600083,81214479;122;6104;33;127;D5;FIX;3,009563;51,068068
346221,26385153;6606748,36997178;123;6110;82;125;EB;IN;3,110159;51,105774
342169,75800678;6603388,63341928;124;6109;84;125;EA;IN;3,073763;51,086769
296929,72530704;6600163,00614060;125;6156;4;127;FI;FIX;2,667365;51,068516
296599,22524303;6600085,78103041;126;6155;3;127;FH;FIX;2,664396;51,068079
347657,46527571;6613901,08062785;127;6112;77;125;ED;IN;3,123060;51,146207
354210,20084323;6611265,53572121;128;6114;94;125;EF;IN;3,181924;51,131313
353692,98931706;6608060,39920072;129;6115;91;125;EG;IN;3,177278;51,113193
350336,64744838;6603868,12674496;130;6116;88;125;EH;IN;3,147128;51,089482
350289,31482056;6600946,61046978;131;6117;8;125;EI;IN;3,146702;51,072951
345250,86689797;6599551,18001136;132;6123;2;125;EN;IN;3,101441;51,065053
351072,11509864;6602912,59294593;133;6118;89;125;EJ;IN;3,153734;51,084076
360133,25052259;6620038,13703402;134;6126;69;125;EQ;IN;3,235132;51,180871
362919,60612177;6616262,09803455;135;6128;71;125;ER;IN;3,260162;51,159546
357719,62003182;6613277,15185454;136;6133;83;125;EW;IN;3,213450;51,142682
360116,96813241;6611035,67014872;137;6132;84;125;EV;IN;3,234986;51,130014
363219,35665447;6610355,56645606;138;6130;86;125;ET;IN;3,262855;51,126169
360670,28932496;6608507,01509952;139;6131;85;125;EU;IN;3,239956;51,115719
365845,08480585;6625494,37778995;140;6152;68;125;FE;IN;3,286442;51,211667
363180,82407758;6621881,18081132;141;6134;70;125;EX;IN;3,262509;51,191276
364435,17219269;6621154,61720308;142;6135;73;125;EY;IN;3,273777;51,187174
364405,90307906;6619747,83042734;143;6139;72;125;E2;IN;3,273514;51,179232
366710,33437353;6613267,90041647;144;6129;87;125;ES;IN;3,294215;51,142629
367355,46601771;6614894,19858151;145;6138;89;125;E1;IN;3,300010;51,151819
370213,33490585;6619431,28681689;146;6136;81;125;EZ;IN;3,325683;51,177445
370566,39071768;6627732,65928962;147;6151;67;125;FD;IN;3,328855;51,224295
370198,79929005;6621290,19412362;148;6142;80;125;E5;IN;3,325552;51,187940
367848,61625034;6624194,24244910;149;6141;76;125;E4;IN;3,304440;51,204331
366614,23329323;6623784,92966160;150;6140;75;125;E3;IN;3,293352;51,202021
374101,46233522;6613496,67244036;151;6157;94;125;FJ;IN;3,360611;51,143922
370733,06764174;6612651,82986890;152;6160;91;125;FM;IN;3,330352;51,139148
370981,63438225;6612127,55315490;153;6161;88;125;FN;IN;3,332585;51,136185
371724,56053153;6611396,18764132;154;6162;99;125;FO;IN;3,339259;51,132052
375615,48810852;6610278,37796785;155;6164;93;125;FQ;FIX;3,374211;51,125733
354763,43445218;6607314,08863256;156;6165;92;125;FR;IN;3,186894;51,108973
351917,60585972;6603113,70890790;157;6166;90;125;FS;IN;3,161330;51,085214
353903,31312676;6599214,59085377;158;6167;9;125;FT;IN;3,179168;51,063148
357695,28607740;6598252,96947685;159;6168;20;125;FU;IN;3,213231;51,057704
353252,27874093;6597727,57277454;160;6169;12;125;FV;IN;3,173319;51,054730
353416,54514608;6597280,48014703;161;6170;13;125;FW;IN;3,174795;51,052198
363564,57489805;6603221,82978154;162;6171;22;125;FX;IN;3,265956;51,085826
363270,27851607;6604892,04423248;163;6172;11;125;FY;IN;3,263312;51,095275
357294,55466209;6596082,35062813;164;6175;21;125;F1;IN;3,209632;51,045414
365121,95765716;6606608,36003543;165;6176;27;125;F2;IN;3,279946;51,104982
365515,75469400;6607090,08881100;166;6177;26;125;F3;IN;3,283484;51,107706
296823,07008999;6600949,34034768;167;6121;68;127;EM;FIX;2,666407;51,072967
