XCoord;YCoord;NETWERKID;NETWERK;PID;STATUS;STARTCODE;ENDCODE
359564,66679708;6573886,63852470;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
379109,89069302;6571921,98819004;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
383673,58276196;6555688,85648314;126;Fietsnetwerk Leiestreek;6497-6522;FIX;PF;OS
383752,29077510;6569741,39280202;126;Fietsnetwerk Leiestreek;6417-6418;FIX;MK;MJ
378287,90321789;6546447,79675920;126;Fietsnetwerk Leiestreek;6538-6543;FIX;P0;PV
377001,07541026;6547918,24967044;126;Fietsnetwerk Leiestreek;6516-6538;FIX;PV;O9
379126,21803123;6546602,66947201;126;Fietsnetwerk Leiestreek;6538-6539;FIX;PV;PW
340542,45689288;6570885,65745010;126;Fietsnetwerk Leiestreek;6372-6373;FIX;LD;LC
335450,13231239;6573388,22920505;126;Fietsnetwerk Leiestreek;6372-6469;FIX;LC;NZ
372782,40418700;6549270,59365127;126;Fietsnetwerk Leiestreek;6519-6519;NIV;PC;#N/A
380307,61278094;6567213,50803824;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
374404,13574276;6568795,97395094;126;Fietsnetwerk Leiestreek;6425-6426;FIX;MS;MR
349751,69748685;6556573,53800330;126;Fietsnetwerk Leiestreek;6443-6444;FIX;NA;N9
344670,16609391;6561946,79708074;126;Fietsnetwerk Leiestreek;6428-6428;FIX;MU;MU
341380,35888169;6602149,12709012;125;Fietsnetwerk Brugse Ommeland;6100-6100;NIV;#N/A;D2
338173,95018852;6601777,44374773;125;Fietsnetwerk Brugse Ommeland;6100-6103;DEL;D2;D4
374591,13167586;6641906,16828191;125;Fietsnetwerk Brugse Ommeland;6067-6067;NIV;#N/A;C5
373932,93113330;6641401,82000687;125;Fietsnetwerk Brugse Ommeland;6066-6067;FIX;C5;C4
373620,58968400;6637010,85530135;125;Fietsnetwerk Brugse Ommeland;6063-6066;FIX;C4;C1
371712,93711860;6632407,38604323;125;Fietsnetwerk Brugse Ommeland;6062-6063;FIX;C1;C0
370450,82347793;6632311,90578859;125;Fietsnetwerk Brugse Ommeland;6062-6095;FIX;C0;DX
367189,24130590;6632563,46230689;125;Fietsnetwerk Brugse Ommeland;6094-6095;FIX;DX;DW
365447,52464685;6632228,75759834;125;Fietsnetwerk Brugse Ommeland;6093-6094;FIX;DW;DV
363692,28120873;6629996,92503083;125;Fietsnetwerk Brugse Ommeland;6092-6093;FIX;DV;DU
361102,98885382;6627311,74790842;125;Fietsnetwerk Brugse Ommeland;6089-6092;FIX;DU;DR
360317,19014319;6625155,70901131;125;Fietsnetwerk Brugse Ommeland;6088-6089;FIX;DR;DQ
358697,74416883;6623287,70718013;125;Fietsnetwerk Brugse Ommeland;6087-6088;FIX;DQ;DP
357816,04324886;6623896,64899788;125;Fietsnetwerk Brugse Ommeland;6086-6087;FIX;DP;DO
357268,66008810;6625414,84033699;125;Fietsnetwerk Brugse Ommeland;6085-6086;FIX;DO;DN
356385,79585539;6626432,65777395;125;Fietsnetwerk Brugse Ommeland;6084-6085;FIX;DN;DM
354844,82565564;6626490,50592295;125;Fietsnetwerk Brugse Ommeland;6083-6084;FIX;DM;DL
353531,44668222;6625541,42017768;125;Fietsnetwerk Brugse Ommeland;6082-6083;FIX;DL;DK
354175,44610945;6623531,74883121;125;Fietsnetwerk Brugse Ommeland;6081-6082;FIX;DK;DJ
354745,03355534;6621138,54223865;125;Fietsnetwerk Brugse Ommeland;6079-6081;FIX;DJ;DH
355260,22450538;6619485,59915047;125;Fietsnetwerk Brugse Ommeland;6079-6080;FIX;DH;DI
354780,20854484;6616704,22237065;125;Fietsnetwerk Brugse Ommeland;6078-6080;FIX;DI;DG
354202,95135263;6615852,54877672;125;Fietsnetwerk Brugse Ommeland;6077-6078;FIX;DG;DF
354056,48975497;6613537,20562935;125;Fietsnetwerk Brugse Ommeland;6077-6114;FIX;DF;EF
351988,26617224;6612350,30587289;125;Fietsnetwerk Brugse Ommeland;6113-6114;FIX;EF;EE
348316,68215744;6613973,64727924;125;Fietsnetwerk Brugse Ommeland;6112-6113;FIX;EE;ED
345807,08781575;6615374,36725312;125;Fietsnetwerk Brugse Ommeland;6017-6112;FIX;ED;BR
344511,47994868;6617467,22376434;125;Fietsnetwerk Brugse Ommeland;6016-6017;FIX;BR;BQ
343831,80998600;6615248,95924350;125;Fietsnetwerk Brugse Ommeland;6015-6016;FIX;BQ;BP
345155,23967979;6612250,63834669;125;Fietsnetwerk Brugse Ommeland;6015-6111;FIX;BP;EC
346929,95894253;6609226,24186568;125;Fietsnetwerk Brugse Ommeland;6110-6111;FIX;EC;EB
348256,79050827;6605241,60679095;125;Fietsnetwerk Brugse Ommeland;6110-6116;FIX;EB;EH
350740,61407194;6603421,68567468;125;Fietsnetwerk Brugse Ommeland;6116-6118;FIX;EH;EJ
351476,86634526;6603092,85180147;125;Fietsnetwerk Brugse Ommeland;6118-6166;FIX;EJ;FS
352540,75450175;6601177,69025816;125;Fietsnetwerk Brugse Ommeland;6166-6167;FIX;FS;FT
355788,07753703;6598873,54976928;125;Fietsnetwerk Brugse Ommeland;6167-6168;FIX;FT;FU
357746,35807297;6601236,75596318;125;Fietsnetwerk Brugse Ommeland;6168-6173;FIX;FU;FZ
360730,56268919;6604081,88825253;125;Fietsnetwerk Brugse Ommeland;6172-6173;FIX;FZ;FY
363510,70036810;6603998,51184341;125;Fietsnetwerk Brugse Ommeland;6171-6172;FIX;FY;FX
360666,17194267;6600674,96471308;125;Fietsnetwerk Brugse Ommeland;6168-6171;FIX;FX;FU
357433,13171237;6597152,90657900;125;Fietsnetwerk Brugse Ommeland;6168-6175;FIX;FU;F1
355069,59100965;6596046,56131198;125;Fietsnetwerk Brugse Ommeland;6170-6175;FIX;F1;FW
351365,87313447;6595499,50528287;125;Fietsnetwerk Brugse Ommeland;6170-6192;FIX;FW;GI
353450,75655760;6591891,13797041;125;Fietsnetwerk Brugse Ommeland;6192-6193;FIX;GI;GJ
355589,50514155;6588515,25398136;125;Fietsnetwerk Brugse Ommeland;6193-6194;FIX;GJ;GK
356762,47601321;6583708,84762373;125;Fietsnetwerk Brugse Ommeland;6194-6203;FIX;GK;GT
359954,44720040;6582195,94226442;125;Fietsnetwerk Brugse Ommeland;6202-6203;FIX;GT;GS
363350,20985096;6582793,39703512;125;Fietsnetwerk Brugse Ommeland;6201-6202;FIX;GS;GR
365550,97283371;6585364,62715061;125;Fietsnetwerk Brugse Ommeland;6199-6201;FIX;GR;GP
363828,11808607;6587488,97546842;125;Fietsnetwerk Brugse Ommeland;6199-6200;FIX;GP;GQ
366117,80750690;6590179,58101467;125;Fietsnetwerk Brugse Ommeland;6200-6207;FIX;GQ;GX
369447,13216984;6592631,34996617;125;Fietsnetwerk Brugse Ommeland;6206-6207;FIX;GX;GW
370016,70279014;6596848,59694664;125;Fietsnetwerk Brugse Ommeland;6205-6206;FIX;GW;GV
368894,12684588;6599088,57266615;125;Fietsnetwerk Brugse Ommeland;6187-6205;FIX;GV;GD
366152,72755838;6599261,38533926;125;Fietsnetwerk Brugse Ommeland;6187-6188;FIX;GD;GE
364125,00910221;6600624,03074831;125;Fietsnetwerk Brugse Ommeland;6171-6188;FIX;GE;FX
365035,01414437;6649565,91547104;125;Fietsnetwerk Brugse Ommeland;-;NIV;#N/A;#N/A
376960,87527747;6649327,99113609;125;Fietsnetwerk Brugse Ommeland;7153-7153;NIV;#N/A;SG
375724,98632216;6648672,68406401;125;Fietsnetwerk Brugse Ommeland;5999-7153;FIX;SG;BB
374324,94744902;6647541,21407883;125;Fietsnetwerk Brugse Ommeland;5999-6002;FIX;BB;BD
372129,36539941;6648744,01364504;125;Fietsnetwerk Brugse Ommeland;5994-6002;FIX;BD;A6
369466,45426624;6649047,95965828;125;Fietsnetwerk Brugse Ommeland;5994-5995;FIX;A6;A7
368619,93426048;6646667,83561530;125;Fietsnetwerk Brugse Ommeland;5995-5996;FIX;A7;A8
366340,25330430;6645486,20203733;125;Fietsnetwerk Brugse Ommeland;5991-5996;FIX;A8;A3
363906,00143440;6645833,76964284;125;Fietsnetwerk Brugse Ommeland;5990-5991;FIX;A3;A2
362575,75621927;6647323,97970741;125;Fietsnetwerk Brugse Ommeland;5990-5993;FIX;A2;A5
360807,15265953;6648513,18102205;125;Fietsnetwerk Brugse Ommeland;5988-5993;FIX;A5;A0
356044,89101457;6646563,27022285;125;Fietsnetwerk Brugse Ommeland;5985-5988;FIX;A0;AX
353019,13822225;6642566,29812080;125;Fietsnetwerk Brugse Ommeland;5984-5985;FIX;AX;AW
353510,45702310;6639264,66511927;125;Fietsnetwerk Brugse Ommeland;5983-5984;FIX;AW;AV
351312,03913526;6640922,85192694;125;Fietsnetwerk Brugse Ommeland;5982-5983;FIX;AV;AU
349638,74954806;6641194,94287045;125;Fietsnetwerk Brugse Ommeland;5981-5982;FIX;AU;AT
348480,98112444;6639504,88325775;125;Fietsnetwerk Brugse Ommeland;5980-5981;FIX;AT;AS
348006,84251275;6641764,55272729;125;Fietsnetwerk Brugse Ommeland;5980-5987;FIX;AS;AZ
348813,33392390;6643432,17529024;125;Fietsnetwerk Brugse Ommeland;5986-5987;FIX;AZ;AY
350413,37671683;6644361,00558438;125;Fietsnetwerk Brugse Ommeland;5985-5986;FIX;AY;AX
375649,81552463;6610231,95505216;125;Fietsnetwerk Brugse Ommeland;6164-6164;NIV;#N/A;FQ
375377,34182178;6610431,59234684;125;Fietsnetwerk Brugse Ommeland;6163-6164;FIX;FQ;FP
373296,59052716;6610723,52938158;125;Fietsnetwerk Brugse Ommeland;6162-6163;FIX;FP;FO
371315,95085083;6611708,94935787;125;Fietsnetwerk Brugse Ommeland;6161-6162;FIX;FO;FN
370950,92743472;6612388,79800893;125;Fietsnetwerk Brugse Ommeland;6160-6161;FIX;FN;FM
368364,34330148;6613401,60600082;125;Fietsnetwerk Brugse Ommeland;6138-6160;FIX;FM;E1
369197,68757080;6615556,65947988;125;Fietsnetwerk Brugse Ommeland;6137-6138;FIX;E1;E0
371192,61502995;6617884,95755742;125;Fietsnetwerk Brugse Ommeland;6136-6137;FIX;E0;EZ
369744,70104832;6620497,14811850;125;Fietsnetwerk Brugse Ommeland;6136-6142;FIX;EZ;E5
371974,61964977;6620641,27175688;125;Fietsnetwerk Brugse Ommeland;6142-6143;FIX;E5;E6
373792,87581853;6622048,08947910;125;Fietsnetwerk Brugse Ommeland;6143-6144;FIX;E6;E7
374623,49445774;6623598,43243449;125;Fietsnetwerk Brugse Ommeland;6144-6145;FIX;E7;E8
371203,30363707;6624336,40196280;125;Fietsnetwerk Brugse Ommeland;6141-6145;FIX;E8;E4
367230,15022077;6623993,50082717;125;Fietsnetwerk Brugse Ommeland;6140-6141;FIX;E4;E3
364782,24673386;6623020,31570083;125;Fietsnetwerk Brugse Ommeland;6134-6140;FIX;E3;EX
363806,22399479;6621450,71577200;125;Fietsnetwerk Brugse Ommeland;6134-6135;FIX;EX;EY
364330,61611918;6620480,24894953;125;Fietsnetwerk Brugse Ommeland;6135-6139;FIX;EY;E2
366089,47587902;6617285,15597798;125;Fietsnetwerk Brugse Ommeland;6138-6139;FIX;E2;E1
367184,94192049;6607767,31106374;125;Fietsnetwerk Brugse Ommeland;6178-6178;NIV;#N/A;F4
367671,46637130;6606236,70647470;125;Fietsnetwerk Brugse Ommeland;6178-6185;FIX;F4;GB
368592,51940121;6604661,54042726;125;Fietsnetwerk Brugse Ommeland;6184-6185;FIX;GB;GA
370389,58210158;6605226,56282654;125;Fietsnetwerk Brugse Ommeland;6183-6184;FIX;GA;F9
371623,58322426;6606248,44997922;125;Fietsnetwerk Brugse Ommeland;6182-6183;FIX;F9;F8
372503,69487879;6607150,50932299;125;Fietsnetwerk Brugse Ommeland;6181-6182;FIX;F8;F7
371241,30132701;6608140,20718144;125;Fietsnetwerk Brugse Ommeland;6180-6181;FIX;F7;F6
369294,11309328;6607887,01587540;125;Fietsnetwerk Brugse Ommeland;6179-6180;FIX;F6;F5
369263,34570544;6606111,95399518;125;Fietsnetwerk Brugse Ommeland;6179-6184;FIX;F5;GA
370750,70033991;6603095,44794950;125;Fietsnetwerk Brugse Ommeland;6184-6186;FIX;GA;GC
369096,58653625;6600958,44778299;125;Fietsnetwerk Brugse Ommeland;6186-6187;FIX;GC;GD
377372,28034727;6600656,08141501;125;Fietsnetwerk Brugse Ommeland;6211-6211;NIV;#N/A;G1
374239,50516970;6603018,83514956;125;Fietsnetwerk Brugse Ommeland;6183-6211;FIX;G1;F9
329223,02638585;6624539,58582272;125;Fietsnetwerk Brugse Ommeland;5963-5963;NIV;#N/A;AE
328199,51765785;6622667,52769870;125;Fietsnetwerk Brugse Ommeland;5960-5963;FIX;AE;AB
327136,38228644;6620264,48932771;125;Fietsnetwerk Brugse Ommeland;5960-5961;FIX;AB;AC
328488,33634704;6617172,98771034;125;Fietsnetwerk Brugse Ommeland;5961-6005;FIX;AC;BF
330601,84839779;6614234,80939132;125;Fietsnetwerk Brugse Ommeland;6005-6006;FIX;BF;BG
334834,25598572;6615211,90349908;125;Fietsnetwerk Brugse Ommeland;6006-6022;FIX;BG;BW
337186,69219115;6617748,16457735;125;Fietsnetwerk Brugse Ommeland;6021-6022;FIX;BW;BV
336336,88246780;6619841,46090780;125;Fietsnetwerk Brugse Ommeland;6021-6026;FIX;BV;B0
334049,26763964;6620886,06363791;125;Fietsnetwerk Brugse Ommeland;6025-6026;FIX;B0;BZ
334299,15804293;6623128,44218607;125;Fietsnetwerk Brugse Ommeland;6023-6025;FIX;BZ;BX
334294,23004093;6625325,51352501;125;Fietsnetwerk Brugse Ommeland;6023-6031;FIX;BX;B5
334094,46079057;6625617,92769212;125;Fietsnetwerk Brugse Ommeland;6030-6031;FIX;B5;B4
337062,70001840;6626484,05756071;125;Fietsnetwerk Brugse Ommeland;6030-6039;FIX;B4;CD
340506,65420805;6625347,90814388;125;Fietsnetwerk Brugse Ommeland;6038-6039;FIX;CD;CC
342344,25787118;6626868,41424105;125;Fietsnetwerk Brugse Ommeland;6037-6038;FIX;CC;CB
341592,57004095;6631076,92910654;125;Fietsnetwerk Brugse Ommeland;5971-6037;FIX;CB;AK
338468,23509252;6634006,61819104;125;Fietsnetwerk Brugse Ommeland;5971-5972;FIX;AK;AL
335638,91059934;6632826,80727681;125;Fietsnetwerk Brugse Ommeland;5972-5974;FIX;AL;AN
329364,31484599;6630886,01756597;125;Fietsnetwerk Brugse Ommeland;5974-7088;FIX;AN;SE
326955,28315250;6628894,90763558;125;Fietsnetwerk Brugse Ommeland;5976-7088;FIX;SE;AO
326577,94906352;6627756,01640833;125;Fietsnetwerk Brugse Ommeland;5965-5976;FIX;AO;AG
325914,51797938;6626916,71595607;125;Fietsnetwerk Brugse Ommeland;5964-5965;FIX;AG;AF
325070,73036764;6624125,85614557;125;Fietsnetwerk Brugse Ommeland;5959-5964;FIX;AF;AA
325838,28348946;6621031,26206033;125;Fietsnetwerk Brugse Ommeland;5959-5960;FIX;AA;AB
376356,14457119;6611601,13044839;125;Fietsnetwerk Brugse Ommeland;6158-6158;NIV;FK;#N/A
378132,85091584;6615485,53161164;125;Fietsnetwerk Brugse Ommeland;6158-6159;FIX;FL;FK
376582,57144918;6619344,12343884;125;Fietsnetwerk Brugse Ommeland;6143-6159;FIX;E6;FL
373837,45664304;6647400,46064378;125;Fietsnetwerk Brugse Ommeland;6002-6004;FIX;BD;BE
371878,15228264;6646033,35436996;125;Fietsnetwerk Brugse Ommeland;5997-6004;FIX;BE;A9
372687,17766933;6644722,16540046;125;Fietsnetwerk Brugse Ommeland;5997-5998;FIX;A9;BA
374903,91813374;6646460,86046092;125;Fietsnetwerk Brugse Ommeland;5998-5999;FIX;BA;BB
368317,72501822;6606977,89544549;125;Fietsnetwerk Brugse Ommeland;6178-6179;FIX;F5;F4
347877,47791120;6612799,76264774;125;Fietsnetwerk Brugse Ommeland;6111-6112;FIX;EC;ED
368900,02184267;6589230,62940302;125;Fietsnetwerk Brugse Ommeland;6207-6332;FIX;KC;GX
370261,62685174;6588077,63962592;125;Fietsnetwerk Brugse Ommeland;6332-6333;FIX;KD;KC
371976,71053645;6589674,73613855;125;Fietsnetwerk Brugse Ommeland;6333-6334;FIX;KE;KD
371873,21416200;6593518,19905221;125;Fietsnetwerk Brugse Ommeland;6206-6334;FIX;GW;KE
365167,81653025;6632673,67517352;125;Fietsnetwerk Brugse Ommeland;6053-6094;FIX;DW;CR
364689,99294094;6633571,98421614;125;Fietsnetwerk Brugse Ommeland;6053-6056;FIX;CR;CU
365011,77025205;6635396,90148565;125;Fietsnetwerk Brugse Ommeland;6055-6056;FIX;CU;CT
366086,24467055;6635874,17859532;125;Fietsnetwerk Brugse Ommeland;6054-6055;FIX;CT;CS
365781,23363585;6634031,80055770;125;Fietsnetwerk Brugse Ommeland;6053-6054;FIX;CS;CR
364173,92007166;6631440,25914123;125;Fietsnetwerk Brugse Ommeland;6052-6053;FIX;CR;CQ
361677,53878975;6631143,79069519;125;Fietsnetwerk Brugse Ommeland;6051-6052;FIX;CQ;CP
360005,39127167;6635374,14053921;125;Fietsnetwerk Brugse Ommeland;6049-6051;FIX;CP;CN
356437,38062450;6638717,75366703;125;Fietsnetwerk Brugse Ommeland;5984-6049;FIX;CN;AW
354769,72551313;6635709,39243584;125;Fietsnetwerk Brugse Ommeland;5984-6050;FIX;AW;CO
352775,99404506;6634019,56103668;125;Fietsnetwerk Brugse Ommeland;6046-6050;FIX;CO;CK
350350,90444879;6637451,83491417;125;Fietsnetwerk Brugse Ommeland;5981-6046;FIX;CK;AT
351131,15414838;6639798,66598752;125;Fietsnetwerk Brugse Ommeland;5981-5983;FIX;AT;AV
361563,82466448;6632868,81419853;125;Fietsnetwerk Brugse Ommeland;6051-6057;FIX;CP;CV
362968,85645562;6635661,89583731;125;Fietsnetwerk Brugse Ommeland;6057-6059;FIX;CV;CX
362630,10415364;6640969,20175175;125;Fietsnetwerk Brugse Ommeland;5989-6059;FIX;CX;A1
362312,74529788;6644682,57612457;125;Fietsnetwerk Brugse Ommeland;5989-5990;FIX;A1;A2
330367,74947450;6620162,63759590;125;Fietsnetwerk Brugse Ommeland;5961-5962;FIX;AD;AC
333396,16037941;6621205,51017813;125;Fietsnetwerk Brugse Ommeland;5962-6025;FIX;BZ;AD
369312,13599307;6644964,40279701;125;Fietsnetwerk Brugse Ommeland;5996-5997;FIX;A8;A9
334553,67521906;6622954,62959295;125;Fietsnetwerk Brugse Ommeland;6024-6026;FIX;B0;BY
334409,00284070;6625162,69786530;125;Fietsnetwerk Brugse Ommeland;6023-6024;FIX;BY;BX
371311,54057023;6647815,29661070;125;Fietsnetwerk Brugse Ommeland;5995-6004;FIX;BE;A7
366680,61147614;6635168,97862700;125;Fietsnetwerk Brugse Ommeland;6054-6060;FIX;CS;CY
367057,19905495;6635142,90795754;125;Fietsnetwerk Brugse Ommeland;6060-6064;FIX;CY;C2
366416,42070811;6635824,62126797;125;Fietsnetwerk Brugse Ommeland;6064-6065;FIX;C2;C3
366692,31234917;6637071,13757727;125;Fietsnetwerk Brugse Ommeland;6065-6071;FIX;C3;C9
369193,23751601;6638287,09159793;125;Fietsnetwerk Brugse Ommeland;6069-6071;FIX;C9;C7
371286,38037741;6639565,85206902;125;Fietsnetwerk Brugse Ommeland;6068-6069;FIX;C7;C6
372649,88902436;6640595,97055751;125;Fietsnetwerk Brugse Ommeland;6067-6068;FIX;C6;C5
365564,42589820;6636924,90098601;125;Fietsnetwerk Brugse Ommeland;6058-6065;FIX;CW;C3
364765,47544294;6637760,89908336;125;Fietsnetwerk Brugse Ommeland;6058-6059;FIX;CW;CX
359919,24998967;6627146,88101631;125;Fietsnetwerk Brugse Ommeland;6089-6090;FIX;DR;DS
361614,17246988;6628607,89178645;125;Fietsnetwerk Brugse Ommeland;6052-6090;FIX;DS;CQ
370254,68080669;6649567,88919947;125;Fietsnetwerk Brugse Ommeland;-;NIV;#N/A;#N/A
347334,82623599;6639890,32649241;125;Fietsnetwerk Brugse Ommeland;5979-5980;FIX;AS;AR
347231,92260616;6638410,35841108;125;Fietsnetwerk Brugse Ommeland;5979-6045;FIX;AR;CJ
345784,10467047;6634329,44942756;125;Fietsnetwerk Brugse Ommeland;6040-6045;FIX;CJ;CE
345152,13476381;6628503,91131848;125;Fietsnetwerk Brugse Ommeland;6037-6040;FIX;CE;CB
347118,58713326;6629155,33395009;125;Fietsnetwerk Brugse Ommeland;6036-6040;FIX;CA;CE
349449,77920197;6629169,15659760;125;Fietsnetwerk Brugse Ommeland;6036-6041;FIX;CF;CA
352460,36557775;6630750,28867909;125;Fietsnetwerk Brugse Ommeland;6041-6043;FIX;CF;CH
351254,52357276;6633325,76847741;125;Fietsnetwerk Brugse Ommeland;6043-6044;FIX;CH;CI
351559,86931561;6634360,75749679;125;Fietsnetwerk Brugse Ommeland;6044-6046;FIX;CI;CK
370917,10742511;6600506,03159934;125;Fietsnetwerk Brugse Ommeland;6186-6208;FIX;GY;GC
370488,45080732;6599370,50257294;125;Fietsnetwerk Brugse Ommeland;6205-6208;FIX;GV;GY
338645,00062106;6624275,66643291;125;Fietsnetwerk Brugse Ommeland;6035-6039;FIX;CD;B9
336486,78874225;6624485,68639385;125;Fietsnetwerk Brugse Ommeland;6031-6035;FIX;B5;B9
340501,76938975;6623757,38898340;125;Fietsnetwerk Brugse Ommeland;6034-6035;FIX;B9;B8
342320,24853895;6624915,06373066;125;Fietsnetwerk Brugse Ommeland;6034-6038;FIX;B8;CC
342884,72216998;6624050,74066610;125;Fietsnetwerk Brugse Ommeland;6032-6034;FIX;B8;B6
345610,61035289;6624459,18547120;125;Fietsnetwerk Brugse Ommeland;6032-6033;FIX;B6;B7
350636,47230743;6625623,93919179;125;Fietsnetwerk Brugse Ommeland;6033-6042;FIX;B7;CG
352300,88998244;6627783,09372525;125;Fietsnetwerk Brugse Ommeland;6041-6042;FIX;CG;CF
347926,71718481;6624978,49012238;125;Fietsnetwerk Brugse Ommeland;6033-6072;FIX;DA;B7
345608,84544283;6624370,93730443;125;Fietsnetwerk Brugse Ommeland;6028-6072;FIX;DA;B2
343279,75108337;6624099,31688306;125;Fietsnetwerk Brugse Ommeland;6028-6032;FIX;B2;B6
347970,92370619;6626756,82327870;125;Fietsnetwerk Brugse Ommeland;6033-6036;FIX;B7;CA
354246,13463131;6631828,82676223;125;Fietsnetwerk Brugse Ommeland;6048-6050;FIX;CO;CM
353057,54630316;6631955,74851888;125;Fietsnetwerk Brugse Ommeland;6043-6048;FIX;CM;CH
363729,59440412;6587101,57695760;125;Fietsnetwerk Brugse Ommeland;-;NIV;#N/A;#N/A
365492,70293663;6636726,43141223;125;Fietsnetwerk Brugse Ommeland;6055-6058;FIX;CT;CW
368314,13946321;6634214,91464048;125;Fietsnetwerk Brugse Ommeland;6060-6061;FIX;CY;CZ
369657,33179114;6633017,55240333;125;Fietsnetwerk Brugse Ommeland;6061-6095;FIX;CZ;DX
356184,63888026;6622964,80805071;125;Fietsnetwerk Brugse Ommeland;6081-6086;FIX;DJ;DO
372004,87563459;6632253,79724389;125;Fietsnetwerk Brugse Ommeland;6063-6096;FIX;DY;C1
375175,01920281;6631209,06952599;125;Fietsnetwerk Brugse Ommeland;6096-6149;FIX;FB;DY
376610,48788937;6630168,14656863;125;Fietsnetwerk Brugse Ommeland;6149-6150;FIX;FC;FB
372729,53842832;6628404,04566195;125;Fietsnetwerk Brugse Ommeland;6150-6151;FIX;FD;FC
370214,39811396;6629208,58285408;125;Fietsnetwerk Brugse Ommeland;6097-6151;FIX;DZ;FD
371270,54617027;6631142,24416679;125;Fietsnetwerk Brugse Ommeland;6096-6097;FIX;DZ;DY
368655,11295504;6630102,83751637;125;Fietsnetwerk Brugse Ommeland;6097-6098;FIX;D0;DZ
366494,67855611;6630547,86205669;125;Fietsnetwerk Brugse Ommeland;6093-6098;FIX;DV;D0
357361,43378807;6631919,38569169;125;Fietsnetwerk Brugse Ommeland;6047-6049;FIX;CN;CL
355887,45689182;6629250,81170019;125;Fietsnetwerk Brugse Ommeland;6047-6048;FIX;CL;CM
353337,27658755;6597505,00135162;125;Fietsnetwerk Brugse Ommeland;6169-6170;FIX;FW;FV
353405,79646090;6598481,66292585;125;Fietsnetwerk Brugse Ommeland;6167-6169;FIX;FV;FT
375620,54841683;6613175,71388819;125;Fietsnetwerk Brugse Ommeland;6157-6158;FIX;FK;FJ
373003,26115744;6614969,96298123;125;Fietsnetwerk Brugse Ommeland;6137-6157;FIX;FJ;E0
367435,31323228;6635815,89162005;125;Fietsnetwerk Brugse Ommeland;6064-6070;FIX;C2;C8
369358,59578317;6637988,20996815;125;Fietsnetwerk Brugse Ommeland;6069-6070;FIX;C8;C7
367682,67525514;6636646,29421304;125;Fietsnetwerk Brugse Ommeland;6070-6071;FIX;C8;C9
356683,71235943;6646894,15218940;125;Fietsnetwerk Brugse Ommeland;-;NIV;#N/A;#N/A
359734,76845274;6621669,79842675;125;Fietsnetwerk Brugse Ommeland;6088-6126;FIX;EQ;DQ
361342,72681495;6618151,62645674;125;Fietsnetwerk Brugse Ommeland;6126-6128;FIX;ER;EQ
360402,24147058;6609823,27504093;125;Fietsnetwerk Brugse Ommeland;6131-6132;FIX;EU;EV
361920,36901154;6609477,26740636;125;Fietsnetwerk Brugse Ommeland;6130-6131;FIX;EU;ET
363570,47405560;6607732,79090955;125;Fietsnetwerk Brugse Ommeland;6130-6176;FIX;ET;F2
365283,60945324;6606879,16413248;125;Fietsnetwerk Brugse Ommeland;6176-6177;FIX;F2;F3
365837,39412941;6607558,77736146;125;Fietsnetwerk Brugse Ommeland;6177-6177;NIV;F3;#N/A
364923,97783327;6611854,06940431;125;Fietsnetwerk Brugse Ommeland;6129-6130;FIX;ES;ET
359700,63851078;6646015,67850398;125;Fietsnetwerk Brugse Ommeland;5988-5989;FIX;A0;A1
362462,48159858;6626938,95444298;125;Fietsnetwerk Brugse Ommeland;6092-6099;FIX;D1;DU
365340,17653526;6628079,64580705;125;Fietsnetwerk Brugse Ommeland;6098-6099;FIX;D1;D0
368948,73169843;6612888,79613363;125;Fietsnetwerk Brugse Ommeland;6129-6161;FIX;ES;FN
375514,14530574;6610222,05776193;125;Fietsnetwerk Brugse Ommeland;6164-6164;NIV;#N/A;FQ
333437,07757627;6626917,59846473;125;Fietsnetwerk Brugse Ommeland;5969-6030;FIX;B4;AJ
333729,21127766;6628340,60854111;125;Fietsnetwerk Brugse Ommeland;5969-5977;FIX;AJ;AP
337081,55813993;6630993,47389783;125;Fietsnetwerk Brugse Ommeland;5971-5977;FIX;AP;AK
349669,84759167;6592961,35718202;125;Fietsnetwerk Brugse Ommeland;6191-6192;FIX;GI;GH
350736,97980672;6590095,09306328;125;Fietsnetwerk Brugse Ommeland;6191-6195;FIX;GH;GL
348878,99962383;6587626,18397796;125;Fietsnetwerk Brugse Ommeland;6195-6196;FIX;GL;GM
357902,41519394;6604926,35631491;125;Fietsnetwerk Brugse Ommeland;6173-6174;FIX;FZ;F0
356271,81304172;6606493,89947561;125;Fietsnetwerk Brugse Ommeland;6165-6174;FIX;F0;FR
353840,94531094;6607759,21068284;125;Fietsnetwerk Brugse Ommeland;6115-6165;FIX;FR;EG
353475,54904445;6609247,57060350;125;Fietsnetwerk Brugse Ommeland;6114-6115;FIX;EG;EF
358969,21534380;6607770,98843006;125;Fietsnetwerk Brugse Ommeland;6131-6174;FIX;F0;EU
348687,84611112;6624342,21220241;125;Fietsnetwerk Brugse Ommeland;6072-6073;FIX;DA;DB
349695,92726335;6622672,12212427;125;Fietsnetwerk Brugse Ommeland;6073-6074;FIX;DB;DC
