XCoord;YCoord;NETWERKID;NETWERK;PID;STATUS;STARTCODE;ENDCODE
379493,64056897;6581288,53948151;126;Fietsnetwerk Leiestreek;6368-6370;FIX;LA;L9
387492,22181122;6549316,13049845;126;Fietsnetwerk Leiestreek;6489-6489;NIV;#N/A;OK
387161,51366475;6553198,02755702;126;Fietsnetwerk Leiestreek;6483-6489;FIX;OK;OD
385672,86140683;6555912,02782932;126;Fietsnetwerk Leiestreek;6483-6497;FIX;OD;OS
383420,58808563;6558784,65571133;126;Fietsnetwerk Leiestreek;6497-6498;FIX;OS;OT
380884,13431769;6561814,18747600;126;Fietsnetwerk Leiestreek;6473-6498;FIX;OT;N3
378895,98117596;6563465,19061411;126;Fietsnetwerk Leiestreek;6422-6473;FIX;N3;MO
379072,88674087;6566432,44199795;126;Fietsnetwerk Leiestreek;6420-6422;FIX;MO;MM
380350,80120579;6567219,94408759;126;Fietsnetwerk Leiestreek;6419-6420;FIX;MM;ML
382582,42338222;6567972,98233734;126;Fietsnetwerk Leiestreek;6418-6419;FIX;ML;MK
385500,34772254;6566652,70065248;126;Fietsnetwerk Leiestreek;6418-7192;FIX;MK;TJ
387033,89138936;6565100,80574822;126;Fietsnetwerk Leiestreek;7192-7196;FIX;TJ;TN
386550,76124677;6563271,72196315;126;Fietsnetwerk Leiestreek;6478-7196;FIX;TN;N8
387459,25591889;6561063,16754426;126;Fietsnetwerk Leiestreek;6478-6481;FIX;N8;OB
389135,76318076;6560072,53761834;126;Fietsnetwerk Leiestreek;6480-6481;FIX;OB;OA
382510,56843336;6582333,91557113;126;Fietsnetwerk Leiestreek;6367-6367;NIV;#N/A;K8
352037,42560230;6577957,55932146;126;Fietsnetwerk Leiestreek;6359-6359;NIV;#N/A;K0
351756,23763168;6579392,86752124;126;Fietsnetwerk Leiestreek;6358-6359;FIX;K0;KZ
348981,97080762;6583490,56629099;126;Fietsnetwerk Leiestreek;6196-6358;DEL;KZ;GM
358665,13550182;6554832,03903441;126;Fietsnetwerk Leiestreek;6451-6451;NIV;#N/A;NH
359899,05899735;6556197,10046759;126;Fietsnetwerk Leiestreek;6437-6451;FIX;NH;M3
361728,79795266;6557693,01412322;126;Fietsnetwerk Leiestreek;6436-6437;FIX;M3;M2
365029,27201976;6559872,82755385;126;Fietsnetwerk Leiestreek;6399-6436;FIX;M2;L2
366970,84252399;6561575,03833384;126;Fietsnetwerk Leiestreek;6399-6400;FIX;L2;L3
